Time,com.sun.xml.stream.xerces.xni.QName Data
0,225
1,541
2,586
3,586
4,585
5,585
6,135
7,631
8,675
9,405
10,90
11,586
12,676
13,721
14,721
15,766
16,766
17,766
18,720
19,766
20,811
21,90
22,811
23,405
24,90
25,586
26,631
27,631
28,676
29,676
30,676
31,630
32,90
33,676
34,675
35,90
36,675
37,766
38,451
39,631
40,676
41,676
42,676
43,675
44,676
45,721
46,90
47,766
48,766
49,811
50,765
51,451
52,585
53,90
54,676
55,721
56,767
57,675
58,675
59,90
60,721
61,766
62,766
63,766
64,812
65,451
66,631
67,585
68,90
69,630
70,90
71,721
72,675
73,721
74,721
75,675
76,721
77,675
78,90
79,675
80,90
81,497
82,540
83,585
84,90
85,676
86,676
87,721
88,451
89,630
90,676
91,676
92,676
93,722
94,630
95,90
96,630
97,675
98,721
99,675
100,721
101,451
102,585
103,631
104,676
105,676
106,721
107,721
108,721
109,675
110,675
111,90
112,767
113,721
114,451
115,676
116,675
117,675
118,90
119,767
120,721
121,721
122,721
123,676
124,90
125,721
126,766
127,766
128,451
129,631
130,631
131,676
132,721
133,721
134,721
135,721
136,767
137,721
138,675
139,812
140,451
141,631
142,677
143,676
144,722
145,721
146,721
147,721
148,721
149,767
150,767
151,721
152,497
153,585
154,677
155,676
156,721
157,767
158,721
159,721
160,676
161,767
162,767
163,721
164,497
165,585
166,631
167,677
168,631
169,631
170,677
171,631
172,631
173,722
174,676
175,676
176,495
177,90
178,631
179,631
180,722
181,768
182,675
183,90
184,721
185,767
186,721
187,767
188,721
189,675
190,495
191,90
192,586
193,586
194,586
195,632
196,677
197,722
198,721
199,675
200,721
201,721
202,721
203,540
204,90
205,631
206,585
207,676
208,721
209,767
210,721
211,767
212,721
213,721
214,767
215,767
216,541
217,586
218,632
219,631
220,676
221,676
222,721
223,721
224,675
225,721
226,721
227,767
