Time,ch.qos.logback.classic.spi.LoggingEvent Data
0,142
1,115
2,103
3,117
4,151
5,142
6,115
7,91
8,104
9,143
10,141
11,61
12,145
13,143
14,93
15,70
16,143
17,85
18,153
19,173
20,152
21,176
22,160
23,159
24,137
25,145
26,187
27,94
28,53
29,175
30,185
31,140
32,151
33,82
34,131
35,172
36,162
37,181
38,80
39,199
40,99
41,136
42,165
43,41
44,110
45,213
46,200
47,122
48,80
49,164
50,241
51,212
52,81
53,43
54,102
55,143
56,74
57,138
58,153
59,76
60,137
61,129
62,74
63,94
64,84
65,89
66,262
67,267
68,157
69,127
70,119
71,203
72,244
73,75
74,104
75,140
76,122
77,164
78,129
79,184
80,131
81,253
82,77
83,282
84,213
85,43
86,208
87,266
88,105
89,278
90,175
91,302
92,165
93,86
94,161
95,199
96,309
97,183
98,281
99,78
100,229
101,88
102,236
103,304
104,125
105,298
106,49
107,173
108,320
109,78
110,291
111,110
112,188
113,310
114,143
115,189
116,310
117,123
118,163
119,312
120,102
121,136
122,115
123,143
124,254
125,334
126,122
127,188
128,206
129,304
130,125
131,98
132,182
133,186
134,259
135,334
136,330
137,110
138,79
139,150
140,212
141,122
142,81
143,161
144,181
145,147
146,185
147,250
148,208
149,253
150,300
151,81
152,154
153,165
154,83
155,146
156,161
157,101
158,108
159,50
160,55
161,357
