Time,java.util.Collections$UnmodifiableRandomAccessList Data
0,19221
1,39094
2,38583
3,38368
4,38471
5,37538
6,38938
7,39123
8,37279
9,38721
10,38543
11,38777
12,38293
13,39288
14,39714
15,38036
16,39847
17,39762
18,37775
19,38985
20,37881
21,39072
22,39855
23,39261
24,40195
25,40441
26,40344
27,38145
28,38242
29,38405
30,38767
31,40629
32,39174
33,38648
34,40645
35,40688
36,40011
37,40628
38,39406
39,38622
40,41228
41,39944
42,39022
43,38921
44,39718
45,38834
46,41373
47,39723
48,41503
49,41122
50,38999
51,41111
52,40160
53,41095
54,39320
55,41587
56,41520
57,39744
58,39306
59,40111
60,41962
61,39818
62,40700
63,42576
64,40628
65,41129
66,39765
67,40379
68,41960
69,39975
70,40533
71,41087
72,42463
73,42915
74,40122
75,41268
76,41221
77,42239
78,43385
79,43213
80,40089
81,41103
82,40947
83,41458
84,41945
85,41458
86,42319
87,42479
88,41512
89,42013
90,41842
91,41463
92,41645
93,41099
94,41613
95,40561
96,43923
97,44156
98,42858
99,42109
100,42068
101,40728
102,43486
103,43568
104,41975
105,42039
106,40851
107,43032
108,42773
109,41274
110,43244
111,42766
112,41426
113,43492
114,42887
115,41279
116,44597
117,42395
118,44925
119,43859
120,42078
121,44035
122,44894
123,42670
124,45048
125,43781
126,45572
127,43740
128,42224
129,43732
130,42348
131,44241
132,45679
133,44384
134,45348
135,43283
136,45098
137,42506
138,45044
139,46125
140,43210
141,46155
142,42699
143,44225
144,46423
145,43157
146,45678
147,43261
148,44523
149,46231
150,43920
151,44727
152,46156
153,43529
154,44399
155,46640
156,43412
157,44146
158,42752
159,43610
160,44354
161,45840
162,46949
163,42369
164,44263
165,44854
166,45591
167,46798
168,42710
169,44020
170,42969
171,43725
172,45092
173,45604
174,46064
175,47358
176,47204
177,42920
178,43993
179,43960
180,44564
181,45425
182,42884
183,43222
184,44216
185,44133
186,45103
187,45398
188,45037
189,45483
190,46466
191,46109
192,46217
193,46805
194,44311
195,45258
196,45352
197,44390
198,45256
199,45386
200,44419
201,44475
202,44109
203,44129
204,43616
205,48675
