Time,org.apache.hadoop.util.Daemon Data
0,39
1,25
2,24
3,23
4,24
5,25
6,25
7,24
8,24
9,22
10,24
11,29
12,24
13,28
14,25
15,25
16,24
17,29
18,29
19,22
20,23
21,25
22,25
