Time,org.apache.hadoop.hdfs.protocol.proto.DataTransferProtos$PacketHeaderProto Data
0,1419
1,1133
2,750
3,794
4,297
5,923
6,1135
7,742
8,718
9,744
10,677
11,1009
12,1372
13,99
14,1422
15,1365
16,54
17,669
18,745
19,1182
20,760
21,1437
22,1469
23,1404
24,69
25,83
26,99
27,357
28,1453
29,676
30,118
31,1424
32,1458
33,857
34,1468
35,748
36,118
37,1522
38,787
39,145
40,133
41,674
42,81
43,1489
44,721
45,1497
46,1448
47,69
48,1336
49,675
50,1322
51,101
52,1476
53,1412
54,131
55,79
56,712
57,1632
58,118
59,758
60,2103
61,576
62,897
63,95
64,712
65,1429
66,123
67,737
68,784
69,1527
70,2120
71,85
72,841
73,777
74,1482
75,2143
76,2130
77,100
78,649
79,738
80,778
81,1047
82,774
83,1369
84,1447
85,739
86,914
87,817
88,767
89,749
90,133
91,742
92,80
93,1898
94,2186
95,1385
96,817
97,811
98,68
99,1496
100,1502
101,738
102,826
103,70
104,1403
105,1258
106,101
107,1391
108,1066
109,111
110,1474
111,1095
112,83
113,2141
114,751
115,2212
116,1499
117,713
118,1512
119,2161
120,793
121,2236
122,1502
123,2540
124,1497
125,373
126,1493
127,743
128,1545
129,2441
130,1890
131,2143
132,1339
133,2133
134,367
135,2087
136,2836
137,825
138,2770
139,722
140,1474
141,2850
142,762
143,2200
144,871
145,1622
146,2590
147,1225
148,1739
149,2434
150,882
151,1521
152,2897
153,864
154,1337
155,552
156,875
157,1459
158,2212
159,2921
160,141
161,1365
162,1554
163,2164
164,2890
165,179
166,1048
167,450
168,783
169,1525
170,2116
171,2169
172,2902
173,2869
174,139
175,833
176,800
177,1096
178,1537
179,129
180,169
181,855
182,807
183,1493
184,1532
185,1441
186,1544
187,2180
188,2154
189,1894
190,2252
191,799
192,1485
193,1509
194,801
195,1479
196,1502
197,803
198,845
199,771
200,772
201,163
202,3532
