Time,com.sun.xml.bind.v2.model.impl.GetterSetterPropertySeed Data
0,2120
1,211
2,4452
3,4452
4,211
5,4452
6,211
7,4452
8,211
9,4452
10,211
11,4452
12,4452
13,4452
14,211
15,4452
16,4452
17,211
18,4452
19,211
20,4452
21,211
22,4452
23,4452
24,4452
25,211
26,4452
27,4452
28,211
29,4452
30,211
31,4452
32,211
33,4452
34,211
35,4452
36,211
37,4452
38,4452
39,211
40,4452
41,4452
42,4452
43,4452
44,211
45,4452
46,211
47,4452
48,211
49,4452
50,211
51,4452
52,4452
53,211
54,4452
55,211
56,4452
57,4452
58,4452
59,4452
60,211
61,4452
62,211
63,4452
64,211
65,4452
66,4452
67,211
68,4452
69,211
70,4452
71,211
72,4452
73,211
74,4452
75,211
76,4452
77,4452
78,211
79,4452
80,4452
81,211
82,4452
83,211
84,4452
85,4452
86,211
87,4452
88,211
89,4452
90,211
91,4452
92,4452
93,4452
94,211
95,4452
96,211
97,4452
98,211
99,4452
100,4452
101,211
102,4452
103,211
104,4452
105,4452
106,211
107,4452
108,211
109,4452
110,211
111,4452
112,211
113,4452
114,4452
115,211
116,4452
117,211
118,4452
119,211
120,4452
121,4452
122,4452
123,211
124,4452
125,211
126,4452
127,211
128,4452
129,4452
130,4452
131,4452
132,211
133,4452
134,211
135,4452
136,211
137,4452
138,211
139,4452
140,4452
141,211
142,4452
143,211
144,4452
145,4452
146,211
147,4452
148,4452
149,4452
150,211
151,4452
152,211
153,4452
154,211
155,4452
156,211
157,4452
158,211
159,4452
160,4452
161,4452
162,4452
163,4452
164,211
165,4452
166,211
167,4452
168,4452
169,4452
170,211
171,4452
172,211
173,4452
174,211
175,4452
176,4452
177,211
178,4452
179,211
180,4452
181,4452
182,211
183,4452
184,211
185,4452
186,4452
187,211
188,4452
189,211
190,4452
191,4452
192,211
193,4452
194,4452
195,4452
196,211
197,4452
198,4452
199,4452
200,211
201,4452
202,4452
203,4452
204,4452
205,4452
206,211
207,4452
208,4452
209,211
210,4452
211,4452
212,4452
213,4452
214,4452
215,211
216,4452
217,4452
218,211
219,4452
220,4452
221,4452
222,4452
223,4452
224,211
225,4452
226,4452
227,4452
228,211
229,4452
230,4452
231,211
232,4452
233,4452
234,4452
235,4452
236,4452
237,4452
238,4452
239,4452
240,4452
241,211
242,4452
243,211
244,4452
245,211
246,4452
247,211
248,4452
249,211
250,4452
251,4452
252,4452
253,211
254,4452
255,211
256,4452
257,4452
258,4452
259,4452
260,211
261,4452
262,211
263,4452
264,211
265,4452
266,211
267,4452
268,4452
269,4452
270,4452
271,4452
272,4452
273,211
274,4452
275,211
276,4452
277,211
278,4452
279,4452
280,4452
281,211
282,4452
283,211
284,4452
285,211
286,4452
287,211
288,4452
289,4452
290,4452
291,4452
292,4452
293,4452
294,4452
295,4452
296,4452
297,211
298,4452
299,4452
300,4452
301,211
302,4452
303,4452
304,4452
305,211
306,4452
307,211
308,4452
309,211
310,4452
311,211
312,4452
313,211
314,4452
