Time,com.mchange.v2.c3p0.impl.NewProxyConnection Data
0,184
1,1129
2,370
3,1003
4,1014
5,1177
6,1040
7,1123
8,924
9,826
10,198
11,1134
12,1050
13,179
14,1052
15,1036
16,116
17,908
18,324
19,1131
20,376
21,1156
22,1354
23,1206
24,184
25,116
26,1242
27,158
28,154
29,1038
30,1172
31,1154
32,996
33,146
34,112
35,1314
36,316
37,560
38,140
39,214
40,1182
41,216
42,1338
43,1038
44,1176
45,780
46,870
47,286
48,1408
49,1195
50,777
51,1192
52,196
53,358
54,1236
55,802
56,868
57,1304
58,118
59,1086
60,1760
61,1218
62,158
63,884
64,817
65,1180
66,1898
67,1362
68,678
69,628
70,1036
71,344
72,992
73,1036
74,536
75,970
76,1146
77,306
78,530
79,884
80,776
81,2111
82,2126
83,1157
84,1140
85,1018
86,1910
87,1705
88,549
89,274
90,92
91,1013
92,836
93,250
94,1174
95,932
96,250
97,1242
98,954
99,272
100,2084
101,326
102,2324
103,1341
104,1900
105,2061
106,340
107,2281
108,1317
109,2163
110,1186
111,774
112,1158
113,148
114,1438
115,2192
116,1193
117,2302
118,394
119,1394
120,796
121,1852
122,2277
123,1133
124,2187
125,164
126,1346
127,2274
128,344
129,2324
130,874
131,1218
132,2350
133,1126
134,1217
135,2346
136,1114
137,1181
138,2307
139,962
140,890
141,1086
142,1028
143,1868
144,2482
145,844
146,1426
147,1356
148,2291
149,154
150,998
151,962
152,1288
153,1196
154,2136
155,2349
156,2362
157,154
158,966
159,714
160,1156
161,1819
162,276
163,1034
164,376
165,1172
166,1257
167,1131
168,1328
169,2028
170,1335
171,1990
172,2288
173,824
174,1152
175,1271
176,778
177,1108
178,1170
179,602
180,988
181,184
182,194
183,254
184,2428
