Time,java.util.HashMap$EntryIterator Data
0,746
1,2492
2,1186
3,2248
4,2249
5,121
6,2592
7,2332
8,2450
9,1676
10,1540
11,656
12,2498
13,2381
14,456
15,2362
16,1952
17,230
18,2055
19,94
20,1130
21,2498
22,1216
23,2551
24,3307
25,3048
26,586
27,114
28,262
29,2740
30,354
31,362
32,2382
33,2601
34,2538
35,2257
36,326
37,220
38,3332
39,1115
40,1009
41,454
42,463
43,2676
44,724
45,2967
46,2316
47,2599
48,1429
49,1653
50,931
51,3423
52,2648
53,1793
54,91
55,2660
56,844
57,1173
58,2759
59,1871
60,1658
61,77
62,83
63,2848
64,672
65,132
66,2372
67,3647
68,2726
69,356
70,1647
71,1899
72,2613
73,3934
74,3013
75,119
76,1243
77,176
78,1641
79,2328
80,1142
81,1910
82,2340
83,1067
84,2227
85,2512
86,740
87,1065
88,1998
89,1412
90,70
91,4719
92,4728
93,2566
94,2490
95,2254
96,57
97,4328
98,3597
99,1081
100,995
101,180
102,2309
103,1584
104,910
105,2606
106,2142
107,926
108,2759
109,2189
110,893
111,4624
112,1105
113,5107
114,2955
115,162
116,4317
117,4234
118,1170
119,5030
120,3260
121,4858
122,2628
123,1425
124,2567
125,324
126,3554
127,4930
128,2660
129,5071
130,1173
131,3128
132,1467
133,3811
134,5008
135,2478
136,4877
137,363
138,3153
139,4774
140,1145
141,5117
142,1609
143,2714
144,5188
145,2488
146,2716
147,5184
148,2444
149,2613
150,5113
151,1976
152,1698
153,2381
154,1925
155,3931
156,5452
157,58
158,1600
159,3464
160,3359
161,5042
162,353
163,2212
164,1765
165,3258
166,2668
167,4358
168,5259
169,5224
170,353
171,2155
172,1348
173,2549
174,3740
175,113
176,978
177,2288
178,1214
179,2595
180,2828
181,2511
182,2956
183,4566
184,2958
185,4113
186,5056
187,1920
188,2547
189,2782
190,1859
191,2461
192,2593
193,1179
194,1903
195,763
196,417
197,541
198,5393
