Time,java.util.Arrays$ArrayList Data
0,1873
1,3068
2,3054
3,2709
4,2802
5,1216
6,4046
7,3490
8,917
9,3540
10,1821
11,3149
12,1999
13,3641
14,4268
15,2570
16,4059
17,3899
18,1813
19,3002
20,1904
21,3839
22,4190
23,4583
24,4603
25,5846
26,5496
27,1610
28,2281
29,2219
30,3418
31,6142
32,3144
33,2836
34,5559
35,5439
36,5037
37,4529
38,3374
39,2399
40,6904
41,4686
42,3369
43,3268
44,4080
45,2551
46,6361
47,3430
48,6879
49,4944
50,2637
51,6187
52,3455
53,4971
54,4091
55,7069
56,6537
57,4945
58,2937
59,3277
60,6689
61,4620
62,5754
63,7623
64,4881
65,5550
66,3059
67,3680
68,7116
69,4195
70,4193
71,5536
72,7228
73,7858
74,4278
75,5145
76,6187
77,7236
78,7727
79,8812
80,3975
81,4446
82,4710
83,6270
84,6440
85,6523
86,5955
87,6831
88,6316
89,6760
90,6787
91,6287
92,5852
93,5709
94,4681
95,4445
96,9750
97,9316
98,7480
99,6918
100,6376
101,4486
102,10085
103,8813
104,6647
105,5858
106,4486
107,7588
108,6314
109,5714
110,8128
111,6990
112,6008
113,9103
114,7351
115,5848
116,9413
117,7197
118,10979
119,9105
120,5906
121,10466
122,10232
123,7749
124,10851
125,9395
126,11649
127,8886
128,5984
129,8408
130,6185
131,10047
132,12246
133,8899
134,11419
135,7762
136,10786
137,6373
138,9423
139,11132
140,7889
141,11275
142,6749
143,9640
144,12473
145,8213
146,11868
147,7135
148,9587
149,12397
150,8151
151,9806
152,12467
153,8209
154,9408
155,12372
156,6975
157,8190
158,5859
159,7891
160,8356
161,11093
162,13341
163,6255
164,7764
165,10716
166,10864
167,11811
168,6709
169,8098
170,6139
171,7484
172,10406
173,10028
174,10993
175,13325
176,13414
177,6919
178,8025
179,8258
180,9288
181,10335
182,6856
183,8097
184,8727
185,9451
186,9792
187,10522
188,9601
189,10859
190,11683
191,11454
192,11621
193,12503
194,9446
195,9717
196,10193
197,9663
198,9374
199,10131
200,9019
201,8432
202,8133
203,8228
204,7762
205,14835
