Time,antlr.TreeParserSharedInputState Data
0,436
1,553
2,585
3,642
4,698
5,731
6,797
7,850
8,663
9,728
10,776
11,819
12,875
13,938
14,981
15,1027
16,1090
17,1129
18,1180
19,1244
20,780
21,843
22,901
23,942
24,1000
25,1063
26,1112
27,1143
28,1201
29,1245
30,1267
31,1330
32,756
33,812
34,866
35,921
36,976
37,1029
38,1064
39,1119
40,1191
41,1226
42,1274
43,1334
44,778
45,832
46,897
47,935
48,998
49,1052
50,1085
51,1151
52,1197
53,1241
54,1302
55,1368
56,779
57,831
58,878
59,922
60,988
61,1040
62,1091
63,1142
64,1193
65,1232
66,1284
67,1329
68,791
69,840
70,878
71,943
72,999
73,1043
74,751
75,800
76,857
77,915
78,971
79,1014
80,1058
81,1115
82,1157
83,1220
84,1276
85,1319
86,756
87,816
88,852
89,915
90,972
91,1008
92,1061
93,1124
94,1164
95,1214
96,1289
97,1344
98,777
99,832
100,887
101,920
102,994
103,1040
104,1075
105,1137
106,1184
107,1238
108,1286
109,1346
110,771
111,824
112,878
113,925
114,978
115,1032
116,1098
117,1131
118,1200
119,1236
120,1277
121,1351
122,777
123,823
124,892
125,942
126,989
127,1035
128,1081
129,1134
130,1178
131,1252
132,1297
133,1343
134,790
135,830
136,879
137,924
138,989
139,1042
140,1087
141,1151
142,1175
143,1243
144,1292
145,1337
146,801
147,829
148,889
149,955
150,999
151,1043
152,1109
153,1153
154,1197
155,1263
156,1300
157,1343
158,771
159,837
160,873
161,938
162,1003
163,1024
164,1082
165,1153
166,1203
167,1255
168,1289
169,1352
170,771
171,830
172,898
173,936
174,994
175,1056
176,1101
177,1135
178,1198
179,1234
180,1299
181,1356
182,768
183,831
184,889
185,930
186,988
187,1044
188,1087
189,1143
190,1205
191,1241
192,1298
193,1362
194,778
195,836
196,891
197,932
198,990
199,1045
200,1079
201,1137
202,1192
203,1233
204,1288
205,1353
