Time,org.apache.naming.resources.CacheEntry Data
0,148
1,189
2,189
3,189
4,188
5,189
6,189
7,188
8,189
9,190
10,190
11,190
12,190
13,190
14,190
15,190
16,189
17,190
18,189
19,190
20,189
21,190
22,190
23,190
24,190
25,191
26,190
27,189
28,190
29,190
30,190
31,190
32,189
33,189
34,189
35,189
36,189
37,188
38,189
39,188
40,189
41,189
42,189
43,188
44,189
45,188
46,189
47,189
48,189
49,188
50,189
51,189
52,189
53,189
54,189
55,190
56,189
57,189
58,189
59,189
60,189
61,189
62,189
63,189
64,188
65,189
66,189
67,188
68,190
69,190
70,189
71,190
72,190
73,190
74,189
75,189
76,189
77,189
78,189
79,189
80,189
81,189
82,188
83,189
84,189
85,189
86,189
87,189
88,189
89,189
90,189
91,189
92,189
93,189
94,188
95,189
96,189
97,189
98,189
99,189
100,189
101,189
102,189
103,189
104,189
105,189
106,189
107,189
108,189
109,189
110,189
111,189
112,189
113,189
114,189
115,189
116,189
117,189
118,190
119,189
120,188
121,190
122,189
123,189
124,190
125,189
126,189
127,189
128,189
129,189
130,189
131,189
132,189
133,189
134,189
135,188
136,190
137,189
138,189
139,190
140,189
141,189
142,189
143,189
144,189
145,189
146,189
147,188
148,189
149,189
150,189
151,189
152,189
153,189
154,189
155,189
156,189
157,189
158,188
159,189
160,189
161,189
162,190
163,189
164,189
165,190
166,189
167,189
168,189
169,189
170,188
171,189
172,189
173,189
174,190
175,190
176,189
177,189
178,189
179,189
180,189
181,189
182,189
183,190
184,190
185,190
186,190
187,190
188,190
189,191
190,190
191,190
192,191
193,190
194,190
195,190
196,190
197,190
198,190
199,190
200,190
201,190
202,190
203,190
204,190
205,191
