Time,java.text.DigitList Data
0,276
1,405
2,389
3,401
4,401
5,279
6,418
7,405
8,116
9,334
10,292
11,300
12,301
13,336
14,333
15,297
16,338
17,334
18,211
19,315
20,114
21,298
22,329
23,308
24,336
25,435
26,413
27,192
28,295
29,197
30,211
31,349
32,200
33,280
34,400
35,415
36,413
37,473
38,362
39,285
40,504
41,303
42,367
43,294
44,210
45,342
46,487
47,370
48,506
49,401
50,271
51,420
52,404
53,419
54,407
55,544
56,255
57,292
58,269
59,197
60,416
61,290
62,306
63,346
64,301
65,311
66,271
67,276
68,421
69,430
70,353
71,483
72,571
73,498
74,275
75,411
76,404
77,441
78,547
79,537
80,305
81,395
82,385
83,408
84,432
85,412
86,248
87,472
88,368
89,388
90,406
91,381
92,365
93,370
94,380
95,274
96,610
97,610
98,256
99,333
100,401
101,278
102,449
103,427
104,301
105,304
106,284
107,327
108,313
109,301
110,255
111,301
112,294
113,351
114,395
115,298
116,515
117,363
118,617
119,481
120,341
121,584
122,372
123,455
124,552
125,507
126,618
127,498
128,454
129,491
130,363
131,519
132,625
133,498
134,392
135,383
136,438
137,378
138,420
139,553
140,412
141,546
142,290
143,442
144,491
145,386
146,473
147,386
148,500
149,643
150,493
151,502
152,639
153,487
154,497
155,636
156,481
157,395
158,341
159,475
160,477
161,512
162,647
163,350
164,459
165,542
166,615
167,659
168,393
169,502
170,340
171,462
172,569
173,489
174,610
175,632
176,631
177,436
178,465
179,444
180,487
181,541
182,347
183,443
184,476
185,385
186,490
187,499
188,484
189,583
190,603
191,508
192,601
193,704
194,373
195,408
196,419
197,386
198,408
199,491
200,374
201,404
202,364
203,369
204,363
205,571
