Time,org.hibernate.engine.QueryParameters Data
0,114
1,83
2,491
3,114
4,160
5,114
6,436
7,114
8,444
9,114
10,512
11,114
12,457
13,114
14,492
15,114
16,403
17,344
18,86
19,82
20,495
21,114
22,454
23,114
24,74
25,461
26,114
27,449
28,50
29,391
30,114
31,142
32,114
33,493
34,114
35,163
36,114
37,503
38,114
39,597
40,228
41,527
42,228
43,81
44,80
45,45
46,538
47,114
48,68
49,65
50,443
51,114
52,511
53,114
54,504
55,114
56,438
57,114
58,62
59,49
60,574
61,228
62,138
63,114
64,230
65,65
66,43
67,89
68,514
69,114
70,97
71,95
72,580
73,114
74,454
75,114
76,512
77,114
78,331
79,366
80,127
81,114
82,623
83,228
84,519
85,114
86,321
87,114
88,519
89,114
90,114
91,87
92,155
93,114
94,537
95,114
96,345
97,114
98,365
99,565
100,114
101,114
102,56
103,477
104,114
105,758
106,114
107,527
108,114
109,66
110,383
111,333
112,114
113,513
114,114
115,823
116,114
117,591
118,114
119,285
120,258
121,114
122,454
123,114
124,149
125,114
126,430
127,454
128,115
129,211
130,416
131,115
132,500
133,115
134,131
135,212
136,378
137,115
138,337
139,912
140,229
141,934
142,229
143,504
144,114
145,497
146,114
147,444
148,114
149,823
150,228
151,723
152,114
153,218
154,127
155,114
156,41
157,434
158,114
159,354
160,114
161,111
162,512
163,114
164,399
165,114
166,114
167,111
168,539
169,114
170,409
171,114
172,121
173,114
174,915
175,228
176,141
177,114
178,1014
179,228
180,565
181,114
182,820
183,228
184,896
185,114
186,148
187,114
188,1002
189,228
190,580
191,228
192,932
193,228
194,515
195,114
196,327
197,505
198,114
199,61
200,629
201,228
202,947
203,228
204,519
205,114
206,1004
207,228
208,182
209,114
210,603
211,114
212,337
213,799
214,104
215,999
216,228
217,495
218,114
219,956
220,228
221,69
222,584
223,193
224,984
225,144
226,149
227,114
228,1014
229,228
230,378
231,530
232,114
233,1023
234,228
235,492
236,114
237,528
238,114
239,1023
240,228
241,486
242,114
243,513
244,114
245,1006
246,228
247,418
248,75
249,375
250,477
251,114
252,444
253,796
254,114
255,1080
256,228
257,358
258,625
259,228
260,593
261,228
262,1005
263,228
264,65
265,438
266,114
267,418
268,567
269,228
270,520
271,114
272,932
273,114
274,1025
275,228
276,1027
277,228
278,65
279,425
280,114
281,289
282,504
283,114
284,779
285,114
286,122
287,114
288,451
289,114
290,163
291,114
292,511
293,114
294,548
295,114
296,494
297,114
298,577
299,114
300,883
301,228
302,580
303,114
304,857
305,114
306,999
307,228
308,340
309,114
310,503
311,114
312,555
313,114
314,330
315,114
316,486
317,114
318,511
319,114
320,242
321,429
322,114
323,82
324,81
325,95
326,1056
327,228
