Time,org.apache.hadoop.security.token.Token Data
0,240
1,196
2,195
3,267
4,245
5,210
6,158
7,210
8,241
9,255
10,115
11,251
12,241
13,177
14,155
15,246
16,190
17,250
18,289
19,273
20,294
21,273
22,262
23,227
24,230
25,350
26,175
27,340
28,357
29,235
30,239
31,155
32,235
33,284
34,272
35,307
36,180
37,328
38,184
39,242
40,277
41,195
42,382
43,325
44,194
45,198
46,272
47,412
48,352
49,150
50,173
51,246
52,178
53,223
54,247
55,168
56,245
57,216
58,158
59,181
60,153
61,456
62,433
63,257
64,211
65,194
66,387
67,419
68,163
69,255
70,218
71,267
72,233
73,305
74,238
75,423
76,170
77,476
78,357
79,389
80,447
81,183
82,464
83,289
84,517
85,277
86,162
87,262
88,375
89,534
90,307
91,471
92,420
93,167
94,408
95,492
96,206
97,496
98,289
99,534
100,180
101,478
102,184
103,319
104,528
105,241
106,324
107,528
108,206
109,272
110,517
111,167
112,242
113,189
114,243
115,451
116,545
117,218
118,302
119,341
120,492
121,191
122,168
123,345
124,312
125,430
126,592
127,536
128,177
129,198
130,256
131,383
132,199
133,190
134,262
135,340
136,246
137,357
138,437
139,340
140,444
141,495
142,175
143,250
144,269
145,180
146,233
147,262
148,173
149,182
150,599
