Time,[Ljava.text.Format; Data
0,326
1,668
2,484
3,536
4,550
5,98
6,731
7,636
8,620
9,265
10,405
11,190
12,616
13,688
14,283
15,659
16,526
17,95
18,417
19,95
20,604
21,639
22,624
23,679
24,1012
25,886
26,164
27,91
28,269
29,873
30,202
31,207
32,710
33,742
34,682
35,558
36,201
37,50
38,1058
39,531
40,240
41,297
42,297
43,871
44,204
45,931
46,592
47,762
48,196
49,417
50,319
51,1010
52,788
53,484
54,75
55,791
56,409
57,565
58,907
59,437
60,440
61,86
62,814
63,268
64,145
65,549
66,850
67,894
68,192
69,380
70,567
71,781
72,959
73,1009
74,72
75,196
76,165
77,547
78,636
79,577
80,456
81,669
82,438
83,592
84,659
85,413
86,349
87,428
88,184
89,72
90,1225
91,1211
92,719
93,636
94,546
95,49
96,1246
97,956
98,415
99,375
100,670
101,368
102,334
103,765
104,534
105,373
106,903
107,569
108,328
109,1086
110,531
111,1375
112,921
113,178
114,1223
115,1151
116,587
117,1329
118,986
119,1377
120,811
121,219
122,726
123,179
124,1118
125,1446
126,791
127,1375
128,549
129,1099
130,242
131,882
132,1302
133,613
134,1305
135,214
136,912
137,1450
138,577
139,1398
140,375
141,837
142,1470
143,616
144,860
145,1470
146,613
147,781
148,1435
149,327
150,443
151,537
152,509
153,1075
154,1607
155,72
156,360
157,1082
158,1058
159,1308
160,169
161,496
162,346
163,963
164,814
165,1067
166,1552
167,1517
168,169
169,483
170,375
171,685
172,898
173,98
174,424
175,580
176,623
177,729
178,891
179,696
180,931
181,1203
182,963
183,1050
184,1332
185,591
186,686
187,755
188,619
189,627
190,736
191,418
192,396
193,319
194,281
195,220
196,1645
