Time,java.net.InetAddress$InetAddressHolder Data
0,192
1,402
2,337
3,356
4,357
5,245
6,445
7,400
8,85
9,339
10,321
11,437
12,354
13,514
14,563
15,509
16,621
17,657
18,519
19,646
20,131
21,326
22,407
23,433
24,483
25,606
26,560
27,314
28,373
29,358
30,395
31,623
32,187
33,297
34,480
35,489
36,519
37,517
38,454
39,441
40,752
41,653
42,612
43,599
44,210
45,203
46,537
47,328
48,637
49,531
50,376
51,645
52,564
53,693
54,593
55,836
56,343
57,321
58,227
59,307
60,558
61,428
62,561
63,703
64,573
65,681
66,534
67,569
68,381
69,282
70,319
71,476
72,683
73,684
74,199
75,382
76,438
77,543
78,689
79,729
80,447
81,569
82,549
83,690
84,777
85,793
86,259
87,382
88,399
89,461
90,500
91,476
92,535
93,558
94,559
95,526
96,942
97,946
98,307
99,391
100,395
101,281
102,687
103,709
104,566
105,542
106,492
107,747
108,748
109,702
110,332
111,380
112,326
113,563
114,503
115,404
116,736
117,602
118,891
119,819
120,589
121,940
122,499
123,397
124,671
125,567
126,780
127,606
128,515
129,657
130,546
131,860
132,1029
133,853
134,519
135,331
136,650
137,423
138,662
139,816
140,602
141,883
142,593
143,861
144,1113
145,787
146,587
147,398
148,570
149,795
150,549
151,671
152,898
153,635
154,727
155,970
156,682
157,815
158,213
159,402
160,508
161,747
162,931
163,455
164,644
165,826
166,891
167,1053
168,746
169,848
170,192
171,359
172,563
173,593
174,728
175,937
176,934
177,584
178,667
179,757
180,850
181,997
182,255
183,376
184,484
185,541
186,630
187,758
188,684
189,855
190,914
191,922
192,1037
193,1116
194,365
195,461
196,545
197,506
198,565
199,651
200,639
201,666
202,635
203,705
204,745
205,1221
