Time,org.apache.naming.resources.FileDirContext$FileResource Data
0,98
1,148
2,142
3,142
4,146
5,137
6,149
7,148
8,133
9,142
10,139
11,144
12,137
13,149
14,145
15,138
16,149
17,144
18,133
19,140
20,135
21,140
22,149
23,143
24,148
25,135
26,134
27,135
28,135
29,152
30,137
31,136
32,152
33,150
34,149
35,148
36,137
37,134
38,143
39,136
40,136
41,139
42,133
43,151
44,138
45,152
46,148
47,133
48,150
49,138
50,144
51,136
52,150
53,139
54,133
55,137
56,152
57,139
58,143
59,153
60,142
61,146
62,134
63,136
64,150
65,136
66,138
67,142
68,155
69,155
70,135
71,147
72,143
73,150
74,155
75,156
76,134
77,138
78,138
79,144
80,149
81,141
82,145
83,149
84,141
85,145
86,147
87,144
88,143
89,140
90,140
91,135
92,150
93,147
94,146
95,134
96,155
97,141
98,140
99,134
100,145
101,142
102,136
103,150
104,143
105,139
106,154
107,143
108,135
109,142
110,156
111,138
112,144
113,150
114,139
115,150
116,137
117,152
118,144
119,139
120,155
121,147
122,139
123,143
124,145
125,154
126,149
127,154
128,147
129,150
130,142
131,146
132,135
133,145
134,146
135,135
136,142
137,135
138,147
139,135
140,140
141,152
142,156
143,135
144,144
145,144
146,149
147,155
148,137
149,139
150,146
151,143
152,150
153,152
154,147
155,152
156,155
157,142
158,148
159,151
160,144
161,146
162,150
163,143
164,142
165,140
166,137
167,138
