Time,java.lang.ref.ReferenceQueue$Lock Data
0,1850
1,2506
2,2281
3,2392
4,2373
5,1792
6,2505
7,2431
8,910
9,1880
10,1673
11,1749
12,1564
13,1898
14,1929
15,1510
16,1915
17,1802
18,1279
19,1834
20,924
21,1655
22,1900
23,1724
24,1928
25,2332
26,2253
27,1174
28,1523
29,1194
30,1394
31,2058
32,1215
33,1447
34,2157
35,2164
36,2148
37,2223
38,1700
39,1467
40,2521
41,1718
42,1801
43,1558
44,1211
45,1494
46,2284
47,1744
48,2378
49,2009
50,1348
51,2146
52,1835
53,1973
54,1815
55,2555
56,1695
57,1782
58,1361
59,1257
60,2182
61,1573
62,1715
63,2072
64,1785
65,1788
66,1338
67,1436
68,2113
69,1873
70,1641
71,2260
72,2717
73,2429
74,1351
75,1968
76,2097
77,2242
78,2664
79,2580
80,1478
81,1858
82,1720
83,2059
84,2155
85,1983
86,1431
87,2187
88,1804
89,2031
90,2043
91,1764
92,1811
93,1972
94,1807
95,1392
96,2963
97,2920
98,1624
99,1893
100,1989
101,1384
102,2576
103,2366
104,1669
105,1627
106,1390
107,1934
108,1738
109,1592
110,1648
111,1868
112,1604
113,2065
114,2070
115,1597
116,2677
117,1842
118,3019
119,2376
120,1584
121,2890
122,2231
123,2130
124,2933
125,2587
126,3151
127,2429
128,2070
129,2403
130,1737
131,2668
132,3180
133,2437
134,2379
135,1867
136,2390
137,1870
138,2396
139,2907
140,2102
141,2865
142,1554
143,2374
144,2755
145,1948
146,2657
147,1990
148,2511
149,3248
150,2385
151,2518
152,3233
153,2368
154,2474
155,3220
156,2233
157,2085
158,1644
159,2305
160,2238
161,2758
162,3299
163,1685
164,2157
165,2719
166,2898
167,3227
168,1800
169,2355
170,1571
171,2051
172,2657
173,2395
174,2858
175,3139
176,3154
177,1825
178,2170
179,2084
180,2325
181,2653
182,1674
183,2035
184,2286
185,2000
186,2416
187,2460
188,2379
189,2684
190,2998
191,2570
192,2915
193,3288
194,2177
195,2207
196,2269
197,2113
198,2181
199,2403
200,1936
201,2008
202,1847
203,1772
204,1736
205,3163
