Time,java.lang.ref.SoftReference Data
0,15500
1,16157
2,16137
3,16136
4,16142
5,15784
6,16179
7,16166
8,15489
9,15893
10,15555
11,15581
12,15835
13,15917
14,15914
15,15563
16,15929
17,15600
18,15534
19,15893
20,15442
21,15839
22,15883
23,15857
24,15896
25,16222
26,16198
27,15490
28,15789
29,15506
30,15534
31,15918
32,15470
33,15489
34,15895
35,15896
36,15875
37,15866
38,15501
39,15482
40,16223
41,15853
42,15504
43,15578
44,15480
45,15470
46,15899
47,15806
48,15911
49,15879
50,15482
51,15891
52,15524
53,15556
54,15821
55,16222
56,15859
57,15828
58,15479
59,15503
60,15904
61,15829
62,15849
63,15913
64,15850
65,15557
66,15483
67,15496
68,15861
69,15801
70,15496
71,15850
72,15917
73,15912
74,15466
75,15546
76,15856
77,15887
78,15924
79,15924
80,15483
81,15514
82,15500
83,15859
84,15880
85,15855
86,15562
87,15867
88,15525
89,15863
90,15863
91,15656
92,15527
93,15835
94,15531
95,15480
96,16260
97,16256
98,15853
99,15861
100,15853
101,15479
102,16241
103,15931
104,15528
105,15842
106,15481
107,15873
108,15541
109,15818
110,15853
111,15852
112,15821
113,15908
114,15861
115,15808
116,16240
117,15845
118,16278
119,15926
120,15501
121,16248
122,15920
123,15845
124,16265
125,16212
126,16284
127,15890
128,15519
129,15880
130,15501
131,16239
132,16295
133,15904
134,16240
135,15834
136,15926
137,15515
138,15898
139,16272
140,15868
141,16283
142,15506
143,16183
144,16091
145,15852
146,16244
147,15537
148,15904
149,16309
150,15874
151,15910
152,16295
153,15864
154,15891
155,16292
156,15795
157,15554
158,15477
159,15847
160,15545
161,15941
162,16313
163,15483
164,15539
165,16228
166,16234
167,16287
168,15499
169,15860
170,15477
171,15517
172,16210
173,15898
174,15926
175,16307
176,16300
177,15495
178,15846
179,15536
180,15886
181,15923
182,15487
183,15819
184,15853
185,15854
186,15883
187,15900
188,15873
189,15910
190,16254
191,15920
192,15938
193,16281
194,15841
195,15873
196,15891
197,15854
198,15867
199,15883
200,15546
201,15632
202,15821
203,15517
204,15512
205,16330
