Time,org.hibernate.engine.query.QueryPlanCache$HQLQueryPlanKey Data
0,570
1,298
2,1292
3,298
4,931
5,298
6,1339
7,298
8,1375
9,298
10,842
11,1585
12,298
13,1549
14,298
15,757
16,70
17,1503
18,298
19,1403
20,1364
21,1114
22,234
23,1717
24,298
25,1720
26,298
27,1241
28,1818
29,298
30,1817
31,1365
32,1885
33,298
34,886
35,1170
36,298
37,1678
38,298
39,1303
40,298
41,1793
42,298
43,2002
44,526
45,1968
46,526
47,1243
48,70
49,1428
50,232
51,1351
52,1431
53,2173
54,298
55,947
56,1015
57,1583
58,298
59,1724
60,298
61,1769
62,298
63,1719
64,298
65,1261
66,1304
67,2098
68,526
69,1549
70,298
71,1680
72,1544
73,156
74,998
75,935
76,70
77,1702
78,298
79,1191
80,264
81,1906
82,298
83,1763
84,298
85,1188
86,70
87,1955
88,298
89,1735
90,1829
91,1614
92,298
93,2355
94,526
95,1578
96,298
97,1402
98,298
99,980
100,70
101,1040
102,1805
103,298
104,1282
105,298
106,1442
107,298
108,1983
109,298
110,1761
111,298
112,1813
113,1393
114,1455
115,1664
116,298
117,1041
118,298
119,1005
120,1694
121,298
122,2105
123,298
124,1867
125,298
126,936
127,1396
128,1444
129,298
130,1722
131,298
132,2192
133,298
134,1942
135,298
136,1196
137,1573
138,1297
139,1725
140,298
141,1994
142,298
143,1658
144,298
145,1400
146,1523
147,298
148,1258
149,1591
150,298
151,1756
152,298
153,1284
154,144
155,1464
156,1739
157,298
158,1686
159,1323
160,2640
161,526
162,2706
163,526
164,1552
165,298
166,1615
167,298
168,1583
169,298
170,1036
171,70
172,2243
173,526
174,2127
175,298
176,1495
177,1446
178,298
179,1359
180,70
181,1949
182,298
183,1860
184,1635
185,298
186,1558
187,298
188,1478
189,298
190,1165
191,298
192,1770
193,298
194,1647
195,298
196,1335
197,298
198,2437
199,526
200,1458
201,298
202,2696
203,526
204,2087
205,298
206,1407
207,2597
208,526
209,2056
210,298
211,1160
212,298
213,2370
214,526
215,1865
216,526
217,2373
218,526
219,1842
220,298
221,1608
222,1925
223,298
224,1377
225,2254
226,526
227,2705
228,526
229,2160
230,298
231,2252
232,526
233,1198
234,298
235,1822
236,298
237,1465
238,2161
239,278
240,2509
241,526
242,1868
243,298
244,2556
245,526
246,1386
247,2159
248,456
249,2728
250,358
251,1674
252,298
253,2279
254,526
255,1415
256,1720
257,298
258,2463
259,526
260,1778
261,298
262,1874
263,298
264,2617
265,526
266,1920
267,298
268,2002
269,298
270,2745
271,526
272,1948
273,220
274,1947
275,877
276,1594
277,298
278,1557
279,2137
280,298
281,2602
282,526
283,1138
284,1664
285,2147
286,526
287,2144
288,526
289,2737
290,526
291,1494
292,2046
293,298
294,885
295,1487
296,1801
297,526
298,1753
299,298
300,2355
301,298
302,2567
303,526
304,2613
305,526
306,1339
307,1872
308,298
309,1734
310,2094
311,298
312,2490
313,298
314,898
315,1132
316,298
317,1599
318,298
319,1295
320,298
321,1795
322,298
323,1910
324,298
325,1866
326,298
327,2050
328,298
329,2529
330,526
331,2157
332,298
333,2562
334,298
335,2836
336,526
337,1377
338,298
339,1631
340,298
341,1769
342,298
343,1504
344,298
345,1761
346,298
347,1852
348,298
349,1517
350,1808
351,1434
352,298
353,1469
354,1522
355,2918
356,526
