Time,com.sun.org.apache.xerces.internal.xinclude.XIncludeHandler Data
0,82
1,128
2,137
3,104
4,109
5,32
6,168
7,136
8,133
9,41
10,116
11,56
12,128
13,160
14,76
15,144
16,137
17,32
18,80
19,32
20,128
21,136
22,165
23,156
24,216
25,196
26,32
27,28
28,92
29,224
30,72
31,50
32,185
33,176
34,152
35,126
36,72
37,18
38,240
39,132
40,60
41,52
42,96
43,14
44,200
45,56
46,224
47,120
48,184
49,36
50,116
51,76
52,219
53,192
54,112
55,24
56,192
57,88
58,148
59,239
60,88
61,124
62,32
63,200
64,53
65,55
66,111
67,196
68,232
69,48
70,84
71,144
72,191
73,204
74,272
75,24
76,36
77,62
78,136
79,136
80,148
81,108
82,152
83,132
84,144
85,144
86,128
87,100
88,88
89,29
90,24
91,280
92,256
93,168
94,136
95,107
96,16
97,296
98,228
99,124
100,79
101,160
102,92
103,67
104,184
105,128
106,76
107,232
108,136
109,65
110,233
111,133
112,312
113,220
114,64
115,288
116,268
117,152
118,296
119,228
120,336
121,200
122,44
123,173
124,64
125,252
126,360
127,192
128,312
129,140
130,287
131,52
132,204
133,292
134,128
135,296
136,78
137,216
138,356
139,148
140,320
141,81
142,208
143,344
144,128
145,216
146,344
147,128
148,192
149,336
150,60
151,124
152,103
153,129
154,268
155,376
156,24
157,92
158,244
159,252
160,292
161,40
162,104
163,68
164,220
165,200
166,240
167,360
168,367
169,40
170,88
171,108
172,152
173,204
174,32
175,93
176,118
177,164
178,174
179,208
180,160
181,224
182,256
183,256
184,252
185,296
186,152
187,159
188,182
189,160
190,136
191,176
192,124
193,84
194,76
195,80
196,52
197,408
