Time,org.postgresql.core.v3.SimpleParameterList Data
0,305
1,273
2,526
3,363
4,416
5,364
6,484
7,363
8,487
9,363
10,316
11,189
12,514
13,363
14,480
15,363
16,421
17,275
18,349
19,161
20,374
21,193
22,318
23,265
24,416
25,277
26,427
27,277
28,325
29,193
30,398
31,277
32,410
33,193
34,267
35,103
36,427
37,277
38,83
39,388
40,275
41,431
42,277
43,396
44,277
45,440
46,277
47,522
48,451
49,529
50,451
51,256
52,103
53,339
54,263
55,283
56,103
57,262
58,440
59,277
60,231
61,101
62,440
63,193
64,587
65,367
66,568
67,371
68,630
69,370
70,658
71,459
72,534
73,285
74,486
75,195
76,719
77,543
78,520
79,279
80,574
81,285
82,537
83,242
84,195
85,407
86,281
87,640
88,457
89,425
90,358
91,635
92,457
93,559
94,367
95,334
96,193
97,547
98,370
99,500
100,311
101,522
102,311
103,463
104,395
105,663
106,569
107,289
108,183
109,438
110,275
111,377
112,193
113,294
114,103
115,536
116,367
117,388
118,279
119,421
120,279
121,531
122,277
123,406
124,279
125,440
126,193
127,356
128,189
129,353
130,193
131,493
132,365
133,549
134,457
135,481
136,283
137,615
138,459
139,789
140,549
141,687
142,457
143,353
144,178
145,627
146,307
147,641
148,393
149,706
150,397
151,785
152,487
153,791
154,485
155,523
156,223
157,606
158,313
159,603
160,311
161,619
162,397
163,664
164,397
165,610
166,395
167,222
168,564
169,443
170,473
171,269
172,498
173,357
174,536
175,357
176,458
177,301
178,453
179,273
180,493
181,357
182,462
183,271
184,349
185,183
186,758
187,621
188,722
189,621
190,254
191,185
192,475
193,277
194,512
195,369
196,342
197,195
198,631
199,453
200,584
201,369
202,421
203,195
204,374
205,279
206,369
207,195
208,443
209,279
210,444
211,195
212,381
213,279
214,249
215,183
216,442
217,275
218,385
219,277
220,497
221,277
222,496
223,367
224,380
225,277
226,626
227,511
228,426
229,337
230,741
231,601
232,574
233,427
234,392
235,253
236,699
237,601
238,483
239,273
240,629
241,455
242,803
243,541
244,706
245,541
246,861
247,631
248,710
249,457
250,638
251,373
252,663
253,457
254,512
255,283
256,731
257,541
258,855
259,631
260,706
261,457
262,455
263,357
264,466
265,365
266,612
267,367
268,537
269,283
270,654
271,359
272,731
273,541
274,556
275,367
276,715
277,541
278,397
279,193
280,620
281,435
282,696
283,391
284,481
285,367
286,633
287,447
288,660
289,281
290,758
291,457
292,937
293,631
294,728
295,457
296,760
297,457
298,956
299,631
300,725
301,457
302,756
303,457
304,922
305,631
306,733
307,435
308,675
309,283
310,547
311,279
312,751
313,455
314,763
315,372
316,859
317,456
318,1004
319,631
320,575
321,283
322,721
323,361
324,825
325,573
326,869
327,663
328,970
329,663
330,624
331,315
332,725
333,489
334,469
335,279
336,664
337,371
338,784
339,631
340,740
341,457
342,897
343,547
344,914
345,631
346,907
347,630
348,628
349,372
350,644
351,457
352,666
353,371
354,716
355,457
356,801
357,501
358,492
359,279
360,629
361,457
362,700
363,459
364,600
365,369
366,731
367,459
368,763
369,459
370,688
371,459
372,814
373,549
374,839
375,633
376,775
377,457
378,885
379,549
380,974
381,719
382,597
383,365
384,638
385,367
386,663
387,369
388,602
389,369
390,633
391,369
392,712
393,459
394,598
395,285
396,611
397,309
398,538
399,369
400,555
401,285
402,578
403,285
404,857
405,543
