Time,net.sf.cglib.asm.Label Data
0,36545
1,37964
2,37964
3,37964
4,37964
5,37964
6,37964
7,37964
8,37964
9,37964
10,37964
11,37964
12,37964
13,37964
14,37964
15,37964
16,37964
17,37964
18,37964
19,37964
20,37964
21,37964
22,37964
23,37964
24,37964
25,37964
26,37964
27,37964
28,37964
29,37964
30,37964
31,37964
32,37964
33,37964
34,37964
35,37964
36,37964
37,37964
38,37964
39,37964
40,37964
41,37964
42,37964
43,37964
44,37964
45,37964
46,37964
47,37964
48,37964
49,37964
50,37964
51,37964
52,37964
53,37964
54,37964
55,37964
56,37964
57,37964
58,37964
59,37964
60,37964
61,37964
62,37964
63,37964
64,37964
65,37964
66,37964
67,37964
68,37964
69,37964
70,37964
71,37964
72,37964
73,37964
74,37964
75,37964
76,37964
77,37964
78,37964
79,37964
80,37964
81,37964
82,37964
83,37964
84,37964
85,37964
86,37964
87,37964
88,37964
89,37964
90,37964
91,37964
92,37964
93,37964
94,37964
95,37964
96,37964
97,37964
98,37964
99,37964
100,37964
101,37964
102,37964
103,37964
104,37964
105,37964
106,37964
107,37964
108,37964
109,37964
110,37964
111,37964
112,37964
113,37964
114,37964
115,37964
116,37964
117,37964
118,37964
119,37964
120,37964
121,37964
122,37964
123,37964
124,37964
125,37964
126,37964
127,37964
128,37964
129,37964
130,37964
131,37964
132,37964
133,37964
134,37964
135,37964
136,37964
137,37964
138,37964
139,37964
140,37964
141,37964
142,37964
143,37964
144,37964
145,37964
146,37964
147,37964
148,37964
149,37964
150,37964
151,37964
152,37964
153,37964
154,37964
155,37964
156,37964
157,37964
158,37964
159,37964
160,37964
161,37964
162,37964
163,37964
164,37964
165,37964
166,37964
167,37964
168,37964
169,37964
170,37964
171,37964
172,37964
173,37964
174,37964
175,37964
176,37964
177,37964
178,37964
179,37964
180,37964
181,37964
182,37964
183,37964
184,37964
185,37964
186,37964
187,37964
188,37964
189,37964
190,37964
191,37964
192,37964
193,37964
194,37964
195,37964
196,37964
197,37964
198,37964
199,37964
200,37964
201,37964
202,37964
203,37964
204,37964
205,37964
