Time,com.sun.org.apache.xerces.internal.util.XMLResourceIdentifierImpl Data
0,571
1,885
2,936
3,726
4,754
5,243
6,1145
7,937
8,84
9,913
10,303
11,798
12,399
13,885
14,1093
15,535
16,989
17,930
18,240
19,570
20,240
21,882
22,937
23,1115
24,1064
25,1457
26,1336
27,240
28,220
29,630
30,1509
31,503
32,363
33,1254
34,1197
35,1038
36,869
37,503
38,146
39,1628
40,902
41,428
42,379
43,659
44,120
45,1353
46,399
47,1509
48,833
49,84
50,1246
51,275
52,798
53,535
54,1484
55,1301
56,775
57,84
58,191
59,1304
60,619
61,1006
62,1608
63,622
64,850
65,243
66,1353
67,387
68,391
69,770
70,1336
71,1564
72,344
73,590
74,986
75,1296
76,1388
77,1824
78,188
79,275
80,435
81,937
82,937
83,1006
84,746
85,1041
86,899
87,989
88,986
89,867
90,694
91,622
92,228
93,188
94,1891
95,1735
96,1145
97,934
98,741
99,136
100,1992
101,1544
102,847
103,556
104,84
105,1093
106,642
107,475
108,1249
109,885
110,535
111,1561
112,937
113,459
114,1584
115,907
116,2099
117,1492
118,451
119,1940
120,1804
121,1041
122,1995
123,1544
124,2258
125,1353
126,327
127,1173
128,451
129,1700
130,2414
131,1304
132,2099
133,954
134,1923
135,379
136,1388
137,1963
138,882
139,1998
140,542
141,1457
142,2379
143,1006
144,2151
145,566
146,1408
147,2310
148,885
149,1460
150,2310
151,882
152,1301
153,2258
154,431
155,850
156,87
157,721
158,881
159,1807
160,2518
161,188
162,642
163,1648
164,1703
165,1963
166,292
167,729
168,87
169,483
170,1492
171,1356
172,1619
173,2414
174,2458
175,292
176,622
177,743
178,1041
179,1385
180,243
181,650
182,817
183,1110
184,1181
185,1405
186,1093
187,1509
188,1735
189,1720
190,1700
191,1998
192,1038
193,1085
194,1236
195,1090
196,937
197,1197
198,850
199,587
200,538
201,555
202,379
203,2729
