Time,sun.nio.cs.Surrogate$Parser Data
0,167
1,165
2,340
3,338
4,163
5,343
6,168
7,178
8,342
9,180
10,176
11,348
12,350
13,345
14,177
15,177
16,176
17,346
18,350
19,343
20,350
21,340
22,348
23,341
24,348
25,346
26,344
27,350
28,323
29,346
30,356
31,348
32,350
33,351
34,341
35,342
36,350
37,341
38,353
39,350
40,177
41,350
42,350
43,176
44,350
