Time,java.io.FileInputStream Data
0,278
1,394
2,418
3,392
4,388
5,353
6,418
7,409
8,161
9,324
10,276
11,330
12,293
13,317
14,345
15,304
16,352
17,329
18,288
19,300
20,219
21,365
22,391
23,385
24,392
25,435
26,427
27,314
28,342
29,312
30,447
31,444
32,275
33,355
34,454
35,446
36,430
37,425
38,393
39,354
40,452
41,393
42,379
43,369
44,229
45,314
46,394
47,359
48,407
49,372
50,319
51,405
52,335
53,379
54,336
55,407
56,309
57,386
58,340
59,365
60,453
61,361
62,391
63,448
64,390
65,412
66,317
67,376
68,362
69,401
70,414
71,472
72,499
73,500
74,284
75,398
76,395
77,418
78,463
79,471
80,325
81,373
82,373
83,391
84,408
85,406
86,223
87,396
88,370
89,395
90,373
91,369
92,358
93,370
94,365
95,316
96,472
97,464
98,247
99,373
100,371
101,335
102,464
103,439
104,370
105,346
106,316
107,409
108,391
109,349
110,263
111,404
112,366
113,431
114,423
115,353
116,462
117,407
118,507
119,451
120,366
121,492
122,397
123,501
124,577
125,542
126,624
127,533
128,472
129,528
130,452
131,558
132,625
133,537
134,354
135,422
136,523
137,418
138,480
139,542
140,432
141,538
142,412
143,490
144,567
145,465
146,454
147,519
148,593
149,666
150,541
151,594
152,663
153,544
154,581
155,659
156,516
157,541
158,476
159,528
160,533
161,598
162,661
163,488
164,517
165,580
166,615
167,643
168,486
169,536
170,403
171,427
172,494
173,510
174,525
175,564
176,575
177,417
178,439
179,451
180,481
181,488
182,473
183,479
184,517
185,508
186,547
187,536
188,542
189,568
190,594
191,577
192,590
193,616
194,488
195,522
196,512
197,496
198,518
199,529
200,476
201,488
202,477
203,470
204,451
205,665
