Time,com.google.gson.internal.$Gson$Types$ParameterizedTypeImpl Data
0,172
1,152
2,352
3,152
4,282
5,282
6,172
7,96
8,358
9,358
10,172
11,172
12,372
13,372
14,352
15,338
16,372
17,372
18,338
19,352
20,358
21,372
22,372
23,172
24,296
25,372
26,372
27,282
28,172
29,358
30,358
31,372
32,358
33,372
34,372
35,372
36,372
37,358
38,372
39,358
40,296
41,358
42,468
43,372
44,358
45,282
46,282
47,372
48,358
49,372
50,152
51,372
