Time,[Lorg.apache.catalina.Container; Data
0,1880
1,2350
2,1880
3,1410
4,1410
5,940
6,3290
7,1880
8,1410
9,470
10,2350
11,1410
12,2350
13,2820
14,1880
15,1880
16,2820
17,940
18,470
19,940
20,1880
21,2350
22,2820
23,2350
24,3760
25,2820
26,1410
27,1410
28,4230
29,1410
30,940
31,2820
32,2820
33,2350
34,1410
35,1880
36,940
37,3290
38,2350
39,1410
40,1880
41,470
42,3290
43,1410
44,4230
45,1880
46,2820
47,470
48,2350
49,1410
50,3760
51,2820
52,1880
53,940
54,3290
55,470
56,2820
57,4230
58,940
59,2820
60,470
61,3290
62,940
63,940
64,3290
65,3760
66,1410
67,1410
68,2350
69,2820
70,3290
71,4700
72,940
73,470
74,1410
75,1410
76,1880
77,2350
78,1880
79,1880
80,2820
81,1880
82,2674
83,2820
84,1880
85,940
86,470
87,4230
88,3760
89,2820
90,2350
91,1410
92,470
93,4230
94,3290
95,2820
96,1880
97,470
98,2820
99,1880
100,470
101,3290
102,1410
103,940
104,4700
105,1880
106,940
107,3290
108,1880
109,4230
110,3290
111,1410
112,4230
113,4230
114,2350
115,4700
116,3290
117,5640
118,3290
119,940
120,3290
121,1410
122,3760
123,5640
124,3290
125,5170
126,2820
127,5170
128,940
129,2820
130,5170
131,1880
132,4700
133,1880
134,4230
135,6110
136,2350
137,5640
138,940
139,3760
140,6110
141,2350
142,3760
143,5640
144,1880
145,2820
146,5640
147,940
148,2820
149,470
150,940
151,2820
152,4700
153,7050
154,940
155,1880
156,3760
157,4700
158,5170
159,940
160,1880
161,470
162,940
163,3290
164,3760
165,4230
166,6110
167,6580
168,1410
169,940
170,2350
171,2820
172,3290
173,470
174,1410
175,1880
176,2350
177,2820
178,3290
179,2350
180,4700
181,3760
182,5170
183,4700
184,5170
185,2350
186,2350
187,3290
188,2820
189,1880
190,2820
191,2350
192,1410
193,1410
194,1880
195,940
196,7520
