Time,com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager Data
0,219
1,268
2,214
3,187
4,256
5,232
6,217
7,207
8,220
9,260
10,249
11,340
12,313
13,147
14,352
15,293
16,280
17,243
18,381
19,211
20,154
21,316
22,352
23,291
24,347
25,304
26,305
27,235
28,375
29,199
30,316
31,313
32,365
33,231
34,303
35,325
36,425
37,220
38,220
39,235
40,244
41,210
42,232
43,231
44,202
45,442
46,406
47,268
48,219
49,465
50,361
51,198
52,256
53,292
54,364
55,220
56,371
57,212
58,490
59,349
60,453
61,421
62,244
63,466
64,361
65,527
66,316
67,274
68,397
69,563
70,305
71,490
72,223
73,448
74,325
75,458
76,467
77,340
78,554
79,235
80,502
81,329
82,539
83,341
84,539
85,304
86,527
87,206
88,422
89,587
90,385
91,398
92,458
93,349
94,317
95,378
96,563
97,573
98,244
99,324
100,259
101,276
102,328
103,256
104,352
105,406
106,401
107,397
108,467
109,243
110,254
111,289
112,255
113,220
114,280
115,199
116,636
