Time,org.codehaus.jackson.io.SerializedString Data
0,378
1,384
2,372
3,366
4,290
5,408
6,384
7,272
8,390
9,296
10,344
11,334
12,378
13,402
14,308
15,390
16,350
17,290
18,354
19,290
20,360
21,384
22,396
23,390
24,478
25,454
26,266
27,328
28,272
29,338
30,438
31,308
32,290
33,414
34,402
35,396
36,366
37,308
38,284
39,460
40,372
41,296
42,330
43,326
44,278
45,414
46,334
47,432
48,372
49,272
50,408
51,296
52,344
53,348
54,466
55,414
56,360
57,272
58,284
59,414
60,342
61,384
62,438
63,360
64,350
65,266
66,284
67,420
68,318
69,296
70,372
71,420
72,432
73,296
74,320
75,390
76,414
77,426
78,462
79,284
80,296
81,302
82,366
83,384
84,384
85,364
86,422
87,376
88,428
89,428
90,414
91,352
92,398
93,328
94,322
95,546
96,516
97,396
98,384
99,366
100,278
101,502
102,444
103,332
104,348
105,272
106,402
107,326
108,336
109,408
110,378
111,336
112,444
113,384
114,342
115,472
116,372
117,526
118,420
119,302
120,496
121,462
122,378
123,514
124,466
125,538
126,420
127,302
128,402
129,302
130,478
131,556
132,414
133,520
134,372
135,462
136,308
137,426
138,506
139,378
140,508
141,314
142,470
143,554
144,384
145,526
146,320
147,426
148,544
149,378
150,432
151,544
152,378
153,414
154,532
155,340
156,350
157,272
158,360
159,350
160,462
161,556
162,284
163,326
164,472
165,484
166,506
167,290
168,366
169,272
170,308
171,454
172,420
173,444
174,538
175,550
176,290
177,348
178,338
179,396
180,426
181,290
182,348
183,372
184,396
185,402
186,414
187,390
188,432
189,490
190,450
191,462
192,508
193,402
194,396
195,414
196,396
197,378
198,408
199,338
200,364
201,354
202,320
203,296
204,586
