Time,java.lang.Long Data
0,2134
1,3204
2,2884
3,3529
4,3746
5,3094
6,4301
7,4405
8,3602
9,4836
10,4757
11,4923
12,4761
13,5697
14,5804
15,5281
16,6194
17,6189
18,5684
19,6651
20,6000
21,6749
22,7456
23,7090
24,7817
25,8287
26,8369
27,7329
28,7750
29,7765
30,7897
31,9074
32,8284
33,8534
34,9529
35,9770
36,9917
37,9984
38,9352
39,9471
40,10974
41,10191
42,10319
43,10221
44,10398
45,10433
46,11713
47,11068
48,12148
49,12038
50,11222
51,12442
52,12155
53,12391
54,12218
55,13403
56,13238
57,13147
58,12547
59,12737
60,13952
61,13382
62,13633
63,14422
64,14222
65,14291
66,13764
67,13912
68,15185
69,14504
70,14413
71,15459
72,16186
73,15915
74,15072
75,15804
76,16072
77,16467
78,17152
79,16909
80,15849
81,16477
82,16145
83,16951
84,17315
85,16965
86,17444
87,17801
88,17440
89,18040
90,18257
91,17676
92,17995
93,18473
94,18326
95,17903
96,19965
97,20078
98,19331
99,19473
100,19505
101,18722
102,20627
103,20487
104,19552
105,19625
106,19399
107,20388
108,20234
109,20071
110,20882
111,20908
112,20533
113,21360
114,21272
115,20831
116,22484
117,21176
118,22912
119,22234
120,21113
121,22970
122,23008
123,21958
124,23622
125,23009
126,23810
127,22978
128,22628
129,23175
130,22374
131,23845
132,24498
133,23673
134,24773
135,23303
136,24278
137,23697
138,24757
139,25343
140,24401
141,25515
142,23753
143,25031
144,25785
145,24400
146,26113
147,24834
148,25410
149,26527
150,25533
151,25716
152,26833
153,25801
154,25964
155,27115
156,25943
157,25913
158,25381
159,26436
160,26335
161,27313
162,28021
163,25849
164,26620
165,27484
166,27524
167,28304
168,26482
169,27325
170,26621
171,27403
172,28144
173,27989
174,28759
175,29264
176,29327
177,27409
178,28225
179,28034
180,28591
181,29193
182,27825
183,28293
184,28893
185,28559
186,29219
187,29407
188,29352
189,29656
190,30388
191,29822
192,30403
193,30889
194,29752
195,30076
196,30273
197,29984
198,30307
199,30445
200,30002
201,30335
202,29945
203,29904
204,30114
205,32134
