Time,[Lcom.sun.xml.ws.util.QNameMap$Entry; Data
0,1590
1,161
2,3339
3,161
4,3339
5,161
6,3339
7,161
8,3339
9,161
10,3339
11,161
12,3339
13,161
14,3339
15,161
16,3339
17,161
18,27
19,3339
20,161
21,3339
22,161
23,3339
24,161
25,3339
26,161
27,3339
28,161
29,3339
30,161
31,3339
32,161
33,3339
34,161
35,3339
36,161
37,3339
38,161
39,3339
40,161
41,3339
42,161
43,27
44,3339
45,161
46,3339
47,161
48,3339
49,161
50,3339
51,161
52,3339
53,161
54,3339
55,161
56,3339
57,161
58,27
59,3339
60,161
61,3339
62,161
63,3339
64,161
65,3339
66,161
67,3339
68,161
69,3339
70,161
71,3339
72,161
73,3339
74,161
75,3339
76,161
77,3339
78,161
79,3339
80,161
81,3339
82,161
83,3339
84,161
85,3339
86,161
87,3339
88,161
89,3339
90,161
91,3339
92,161
93,3339
94,161
95,27
96,3339
97,161
98,3339
99,161
100,3339
101,161
102,3339
103,161
104,3339
105,161
106,27
107,3339
108,161
109,3339
110,161
111,3339
112,161
113,3339
114,161
115,3339
116,161
117,3339
118,161
119,3339
120,161
121,3339
122,161
123,27
124,3339
125,161
126,3339
127,161
128,3339
129,161
130,3339
131,161
132,3339
133,161
134,3339
135,161
136,3339
137,161
138,3339
139,161
140,27
141,3339
142,161
143,3339
144,161
145,3339
146,161
147,3339
148,161
149,3339
150,161
151,3339
152,161
153,3339
154,161
155,3339
156,161
157,3339
158,161
159,3339
160,161
161,3339
162,161
163,3339
164,161
165,3339
166,161
167,3339
168,161
169,27
170,3339
171,161
172,3339
173,161
174,3339
175,161
176,3339
177,161
178,3339
179,161
180,3339
181,161
182,3339
183,161
184,3339
185,161
186,3339
187,161
188,3339
189,161
190,3339
191,161
192,3339
193,161
194,3339
195,161
196,3339
197,161
198,3339
199,161
200,27
201,3339
202,161
203,3339
204,161
205,3339
206,161
207,3339
208,161
209,3339
210,161
211,3339
212,161
213,27
214,3339
215,161
216,3339
217,161
218,3339
219,161
220,3339
221,161
222,3339
223,161
224,27
225,3339
226,161
227,3339
228,161
229,3339
230,161
231,3339
232,161
233,3339
234,161
235,3339
236,161
237,3339
238,161
239,3339
240,161
241,3339
242,161
243,3339
244,161
245,3339
246,161
247,3339
248,161
249,3339
250,161
251,3339
252,161
253,3339
254,161
255,3339
256,161
257,3339
258,161
259,3339
260,161
261,3339
262,161
263,3339
264,161
265,3339
266,161
267,3339
268,161
269,3339
270,161
271,3339
272,161
273,3339
274,161
275,3339
276,161
277,3339
278,161
279,3339
280,161
281,3339
282,161
283,3339
284,161
285,3339
286,161
287,3339
288,161
289,3339
290,161
291,3339
292,161
293,3339
294,161
295,3339
296,161
297,3339
298,161
299,3339
300,161
301,3339
302,161
303,3339
304,161
305,3339
306,161
307,3339
308,161
309,3339
310,161
311,3339
312,161
313,3339
314,161
315,3339
316,161
317,3339
318,161
319,3339
320,161
321,3339
322,161
323,3339
324,161
325,3339
326,161
327,3339
328,161
329,27
330,3339
331,161
332,3339
333,161
334,3339
335,161
336,3339
337,161
338,3339
339,161
340,27
341,3339
342,161
343,3339
344,161
345,3339
346,161
347,3339
348,161
349,3339
350,161
351,3339
352,161
353,3339
354,161
355,27
356,3339
357,161
358,3339
359,161
360,3339
361,161
362,3339
363,161
364,3339
365,161
366,3339
367,161
368,3339
369,161
370,3339
371,161
372,3339
373,161
374,3339
375,161
376,3339
377,161
378,3339
379,161
380,3339
381,161
382,3339
383,161
384,3339
385,161
386,3339
387,161
388,3339
389,161
390,3339
391,161
392,3339
393,161
394,3339
395,161
396,3339
397,161
398,3339
399,161
400,3339
401,161
402,3339
403,161
404,3339
405,161
406,3339
407,161
408,3339
409,161
410,3339
411,161
412,3339
413,161
414,3339
415,161
416,3339
417,161
418,3339
419,161
420,3339
421,161
422,3339
423,161
424,3339
425,161
