Time,[Lorg.springframework.http.MediaType; Data
0,266
1,196
2,238
3,224
4,336
5,280
6,280
7,238
8,266
9,308
10,168
11,294
12,266
13,196
14,238
15,280
16,308
17,280
18,476
19,364
20,154
21,392
22,126
23,336
24,322
25,308
26,196
27,448
28,252
29,154
30,140
31,168
32,420
33,448
34,252
35,336
36,238
37,448
38,350
39,238
40,350
41,182
42,266
43,392
44,210
45,252
46,364
47,238
48,392
49,392
50,126
51,182
52,266
53,336
54,434
55,462
56,252
57,280
58,280
59,210
60,280
61,252
62,280
63,294
64,224
65,196
66,210
67,560
68,504
69,308
70,280
71,224
72,574
73,462
74,238
75,168
76,308
77,196
78,140
79,336
80,252
81,168
82,420
83,266
84,154
85,420
86,252
87,602
88,434
89,560
90,532
91,266
92,574
93,406
94,630
95,364
96,308
97,504
98,672
99,350
100,602
101,196
102,518
103,154
104,378
105,546
106,266
107,546
108,448
109,714
110,280
111,616
112,182
113,378
114,658
115,266
116,392
117,658
118,266
119,336
120,616
121,252
122,210
123,254
124,518
125,742
126,196
127,476
128,448
129,560
130,182
131,168
132,378
133,364
134,490
135,700
136,658
137,182
138,224
139,308
140,434
141,196
142,238
143,308
144,308
145,420
146,294
147,448
148,518
149,434
150,518
151,574
152,280
153,280
154,322
155,308
156,252
157,308
158,238
159,196
160,168
161,140
162,742
