Time,java.util.zip.ZipEntry Data
0,83
1,78
2,104
3,87
4,71
5,84
6,96
7,92
8,79
9,163
10,88
11,94
12,95
13,131
14,119
15,134
16,116
17,109
18,96
19,80
20,148
21,78
22,122
23,135
24,79
25,113
26,134
27,117
28,119
29,86
30,142
31,77
32,121
33,126
34,142
35,86
36,116
37,130
38,163
39,83
40,88
41,84
42,96
43,76
44,88
45,90
46,75
47,174
48,163
49,105
50,86
51,177
52,142
53,72
54,96
55,113
56,141
57,82
58,147
59,77
60,193
61,139
62,177
63,165
64,91
65,183
66,139
67,205
68,121
69,106
70,156
71,219
72,119
73,193
74,83
75,171
76,130
77,183
78,82
79,188
80,130
81,217
82,86
83,199
84,129
85,213
86,84
87,133
88,213
89,82
90,117
91,208
92,77
93,78
94,166
95,231
96,147
97,156
98,183
99,135
100,123
101,147
102,223
103,226
104,96
105,130
106,94
107,106
108,127
109,98
110,135
111,159
112,154
113,155
114,188
115,92
116,97
117,112
118,95
119,85
120,109
121,74
122,252
