Time,com.sun.org.apache.xerces.internal.impl.Constants$ArrayEnumeration Data
0,163
1,257
2,275
3,217
4,337
5,273
6,267
7,233
8,257
9,321
10,153
11,289
12,273
13,257
14,273
15,331
16,313
17,433
18,393
19,185
20,447
21,145
22,371
23,353
24,305
25,251
26,145
27,481
28,265
29,193
30,401
31,449
32,241
33,369
34,233
35,439
36,385
37,225
38,385
39,177
40,297
41,477
42,249
43,401
44,223
45,393
46,465
47,289
48,383
49,409
50,545
51,273
52,273
53,297
54,217
55,305
56,265
57,289
58,289
59,257
60,201
61,561
62,513
63,337
64,273
65,215
66,593
67,457
68,249
69,321
70,369
71,257
72,465
73,273
74,467
75,267
76,625
77,441
78,129
79,577
80,537
81,305
82,593
83,457
84,673
85,401
86,347
87,505
88,721
89,385
90,625
91,281
92,575
93,409
94,585
95,257
96,593
97,157
98,433
99,713
100,297
101,641
102,417
103,689
104,257
105,433
106,689
107,257
108,385
109,673
110,249
111,207
112,259
113,537
114,753
115,487
116,505
117,585
118,209
119,441
120,401
121,481
122,721
123,733
124,217
125,305
126,409
127,187
128,237
129,329
130,347
131,417
132,321
133,449
134,513
135,513
136,505
137,593
138,305
139,317
140,365
141,321
142,273
143,353
144,249
145,161
146,817
