Time,java.util.LinkedHashMap$KeyIterator Data
0,175
1,976
2,230
3,914
4,906
5,1066
6,962
7,953
8,801
9,270
10,119
11,976
12,1025
13,198
14,974
15,992
16,84
17,844
18,81
19,250
20,986
21,343
22,990
23,1187
24,1068
25,142
26,171
27,1150
28,135
29,130
30,1048
31,1020
32,1008
33,887
34,153
35,1145
36,283
37,166
38,204
39,1122
40,118
41,1187
42,943
43,1049
44,791
45,953
46,157
47,1173
48,1059
49,249
50,1076
51,149
52,314
53,1150
54,871
55,982
56,1091
57,895
58,1106
59,1129
60,149
61,871
62,293
63,1052
64,1814
65,1223
66,784
67,114
68,240
69,964
70,304
71,919
72,965
73,298
74,964
75,996
76,289
77,217
78,193
79,731
80,1950
81,1890
82,1027
83,988
84,907
85,1277
86,1154
87,286
88,206
89,1024
90,901
91,126
92,1068
93,245
94,161
95,1187
96,955
97,154
98,1813
99,263
100,1988
101,1131
102,121
103,1267
104,1928
105,292
106,1988
107,1120
108,2064
109,1088
110,820
111,1049
112,125
113,1209
114,2092
115,1077
116,2023
117,266
118,1278
119,830
120,1755
121,1995
122,957
123,1962
124,157
125,1192
126,2143
127,302
128,2055
129,855
130,1119
131,2105
132,976
133,1129
134,2086
135,957
136,1051
137,2058
138,838
139,982
140,881
141,991
142,1259
143,2205
144,901
145,1191
146,1210
147,1996
148,120
149,896
150,844
151,1101
152,1107
153,1899
154,2132
155,2130
156,139
157,854
158,257
159,1026
160,1134
161,201
162,936
163,323
164,1031
165,1127
166,998
167,1207
168,1896
169,1221
170,1938
171,2003
172,305
173,990
174,1064
175,330
176,948
177,1039
178,269
179,890
180,153
181,200
182,136
183,2224
