Time,java.util.ResourceBundle$CacheKey Data
0,336
1,336
2,336
3,336
4,336
5,284
6,336
7,336
8,284
9,336
10,284
11,284
12,284
13,336
14,336
15,284
16,336
17,284
18,284
19,336
20,259
21,311
22,311
23,311
24,311
25,311
26,363
27,259
28,259
29,259
30,259
31,311
32,259
33,259
34,311
35,311
36,311
37,311
38,259
39,259
40,363
41,311
42,259
43,311
44,259
45,259
46,311
47,259
48,311
49,311
50,259
51,311
52,259
53,259
54,311
55,363
56,311
57,311
58,259
59,259
60,311
61,311
62,311
63,311
64,311
65,259
66,259
67,259
68,311
69,311
70,259
71,311
72,311
73,311
74,259
75,259
76,311
77,311
78,311
79,311
80,259
81,259
82,259
83,311
84,311
85,311
86,259
87,311
88,259
89,311
90,311
91,259
92,259
93,311
94,259
95,259
96,363
97,363
98,311
99,311
100,311
101,259
102,363
103,311
104,259
105,311
106,259
107,311
108,259
109,311
110,311
111,311
112,311
113,311
114,311
115,311
116,363
117,311
118,363
119,311
120,259
121,363
122,311
123,311
124,363
125,363
126,363
127,311
128,259
129,311
130,259
131,363
132,363
133,311
134,363
135,311
136,311
137,259
138,311
139,311
140,311
141,363
142,259
143,311
144,311
145,311
146,363
147,259
148,311
149,363
150,311
151,311
152,363
153,311
154,311
155,363
156,259
157,259
158,259
159,311
160,259
161,311
162,363
163,259
164,259
165,363
166,363
167,311
168,259
169,311
170,259
171,259
172,363
173,311
174,311
175,363
176,363
177,259
178,311
179,259
180,311
181,311
182,259
183,311
184,311
185,311
186,311
187,311
188,311
189,311
190,363
191,311
192,311
193,363
194,311
195,311
196,311
197,311
198,311
199,311
200,259
201,259
202,311
203,259
204,259
205,363
