Time,java.text.FieldPosition Data
0,503
1,923
2,742
3,794
4,809
5,280
6,991
7,896
8,799
9,423
10,587
11,373
12,800
13,873
14,470
15,847
16,714
17,205
18,604
19,113
20,781
21,816
22,801
23,860
24,1269
25,1140
26,107
27,344
28,196
29,373
30,1055
31,296
32,380
33,963
34,999
35,940
36,892
37,459
38,234
39,1396
40,713
41,500
42,496
43,392
44,287
45,1200
46,459
47,1263
48,848
49,206
50,1024
51,482
52,704
53,607
54,1375
55,883
56,657
57,204
58,178
59,1046
60,587
61,744
62,1087
63,618
64,621
65,183
66,268
67,1065
68,599
69,401
70,883
71,1261
72,1229
73,361
74,660
75,849
76,1064
77,1322
78,1369
79,279
80,480
81,450
82,833
83,923
84,865
85,557
86,995
87,688
88,842
89,911
90,665
91,602
92,682
93,443
94,253
95,1636
96,1622
97,821
98,817
99,805
100,233
101,1507
102,1218
103,600
104,561
105,212
106,857
107,555
108,523
109,863
110,711
111,555
112,1087
113,829
114,511
115,1405
116,773
117,1770
118,1240
119,420
120,1621
121,1326
122,918
123,1663
124,1321
125,1790
126,1150
127,555
128,1063
129,438
130,1454
131,1859
132,1128
133,1549
134,802
135,1354
136,499
137,1136
138,1637
139,873
140,1642
141,397
142,1172
143,1710
144,838
145,1650
146,633
147,1173
148,1888
149,957
150,1198
151,1884
152,951
153,1120
154,1852
155,666
156,706
157,279
158,866
159,840
160,1408
161,2016
162,328
163,693
164,1445
165,1498
166,1749
167,455
168,859
169,275
170,671
171,1366
172,1142
173,1473
174,1959
175,1923
176,498
177,813
178,705
179,1017
180,1273
181,348
182,752
183,911
184,877
185,1061
186,1223
187,1029
188,1340
189,1614
190,1297
191,1460
192,1820
193,839
194,939
195,1009
196,877
197,886
198,1069
199,676
200,652
201,575
202,537
203,476
204,1979
