Time,[Ljava.util.regex.Pattern$Node; Data
0,341
1,361
2,349
3,360
4,358
5,342
6,361
7,358
8,342
9,361
10,361
11,361
12,346
13,362
14,361
15,357
16,359
17,361
18,346
19,361
20,342
21,353
22,362
23,349
24,362
25,362
26,361
27,343
28,346
29,350
30,343
31,362
32,345
33,353
34,361
35,362
36,362
37,359
38,346
39,346
40,369
41,350
42,353
43,343
44,345
45,343
46,362
47,346
48,365
49,359
50,343
51,362
52,361
53,361
54,346
55,365
56,361
57,354
58,343
59,343
60,362
61,350
62,346
63,362
64,358
65,361
66,350
67,343
68,364
69,350
70,343
71,361
72,377
73,362
74,345
75,359
76,354
77,362
78,377
79,365
80,343
81,358
82,343
83,357
84,359
85,346
86,361
87,359
88,353
89,361
90,362
91,346
92,357
93,361
94,358
95,343
96,380
97,378
98,361
99,362
100,359
101,343
102,372
103,374
104,353
105,350
106,346
107,361
108,361
109,346
110,361
111,361
112,351
113,362
114,361
115,346
116,377
117,349
118,381
119,373
120,343
121,373
122,377
123,357
124,381
125,362
126,380
127,362
128,361
129,362
130,346
131,372
132,380
133,362
134,380
135,343
136,368
137,361
138,377
139,381
140,362
141,378
142,346
143,365
144,381
145,346
146,380
147,359
148,362
149,381
150,362
151,362
152,381
153,362
154,362
155,381
156,362
157,361
158,343
159,362
160,361
161,380
162,384
163,343
164,361
165,365
166,362
167,381
168,346
169,359
170,343
171,362
172,365
173,362
174,380
175,381
176,381
177,346
178,359
179,358
180,362
181,377
182,343
183,354
184,359
185,346
186,362
187,368
188,362
189,365
190,377
191,365
192,380
193,381
194,354
195,362
196,365
197,353
198,362
199,362
200,357
201,362
202,343
203,346
204,357
205,381
