Time,<compiledICHolderKlass> Data
0,268
1,400
2,419
3,445
4,469
5,472
6,499
7,512
8,368
9,373
10,388
11,390
12,397
13,404
14,408
15,415
16,419
17,419
18,437
19,443
20,420
21,426
22,432
23,436
24,439
25,444
26,445
27,447
28,461
29,464
30,465
31,465
32,450
33,450
34,450
35,461
36,462
37,465
38,468
39,470
40,471
41,475
42,475
43,476
44,454
45,460
46,466
47,466
48,466
49,466
50,466
51,467
52,470
53,470
54,476
55,479
56,477
57,478
58,480
59,480
60,480
61,480
62,480
63,480
64,480
65,481
66,481
67,481
68,483
69,483
70,485
71,485
72,492
73,493
74,492
75,498
76,498
77,505
78,505
79,505
80,507
81,507
82,507
83,507
84,507
85,515
86,505
87,505
88,505
89,505
90,507
91,507
92,507
93,507
94,507
95,507
96,507
97,507
98,508
99,508
100,508
101,517
102,519
103,519
104,520
105,520
106,520
107,520
108,521
109,521
110,518
111,524
112,524
113,524
114,527
115,527
116,527
117,527
118,528
119,533
120,533
121,533
122,532
123,534
124,535
125,538
126,538
127,538
128,541
129,541
130,541
131,541
132,541
133,541
134,538
135,538
136,538
137,538
138,538
139,538
140,538
141,538
142,538
143,539
144,539
145,539
146,539
147,539
148,539
149,540
150,542
151,542
152,542
153,543
154,543
155,543
156,549
157,549
158,547
159,553
160,553
161,553
162,553
163,553
164,553
165,553
166,556
167,558
168,558
169,558
170,558
171,564
172,564
173,569
174,569
175,569
176,569
177,569
178,569
179,569
180,570
181,570
182,567
183,567
184,567
185,568
186,568
187,568
188,568
189,569
190,569
191,569
192,569
193,569
194,568
195,568
196,568
197,568
198,568
199,568
200,568
201,568
202,568
203,568
204,568
205,568
