Time,com.sun.org.apache.xerces.internal.util.AugmentationsImpl Data
0,1311
1,2024
2,2132
3,1667
4,1725
5,578
6,2604
7,2140
8,221
9,2083
10,712
11,1823
12,926
13,2024
14,2488
15,1234
16,2256
17,2113
18,569
19,1319
20,569
21,2015
22,2140
23,2529
24,2421
25,3300
26,3037
27,569
28,529
29,1439
30,3415
31,1158
32,848
33,2846
34,2720
35,2363
36,1985
37,1158
38,357
39,3693
40,2055
41,993
42,886
43,1506
44,299
45,3068
46,926
47,3416
48,1908
49,221
50,2827
51,654
52,1823
53,1234
54,3366
55,2952
56,1774
57,221
58,462
59,2961
60,1426
61,2287
62,3637
63,1435
64,1939
65,578
66,3068
67,904
68,906
69,1764
70,3037
71,3541
72,801
73,1359
74,2247
75,2942
76,3153
77,4121
78,453
79,654
80,1004
81,2140
82,2140
83,2287
84,1707
85,2372
86,2046
87,2256
88,2247
89,1970
90,1591
91,1435
92,548
93,453
94,4282
95,3934
96,2604
97,2131
98,1697
99,337
100,4505
101,3501
102,1930
103,1282
104,221
105,2488
106,1475
107,1098
108,2836
109,2024
110,1234
111,3532
112,2140
113,1060
114,3596
115,2065
116,4746
117,3385
118,1042
119,4389
120,4081
121,2372
122,4514
123,3501
124,5103
125,3068
126,770
127,2663
128,1042
129,3849
130,5451
131,2961
132,4746
133,2171
134,4343
135,886
136,3153
137,4438
138,2015
139,4523
140,1245
141,3300
142,5366
143,2287
144,4862
145,1302
146,3193
147,5219
148,2024
149,3309
150,5219
151,2015
152,2952
153,5103
154,1002
155,1939
156,230
157,1657
158,2007
159,4090
160,5683
161,453
162,1475
163,3732
164,3858
165,4438
166,685
167,1676
168,230
169,1118
170,3385
171,3077
172,3666
173,5451
174,5547
175,685
176,1435
177,1698
178,2372
179,3144
180,578
181,1494
182,1870
183,2519
184,2681
185,3184
186,2488
187,3416
188,3934
189,3889
190,3849
191,4523
192,2363
193,2468
194,2807
195,2479
196,2140
197,2720
198,1939
199,1350
200,1243
201,1274
202,886
203,6156
