Time,[Lsun.reflect.generics.tree.FieldTypeSignature; Data
0,5156
1,7923
2,7580
3,7922
4,7923
5,7348
6,7923
7,7923
8,5867
9,6442
10,6210
11,6210
12,5873
13,6443
14,6442
15,6018
16,6443
17,6210
18,5868
19,6442
20,5867
21,6294
22,6443
23,6210
24,6443
25,6675
26,6674
27,5868
28,5873
29,6047
30,5868
31,6443
32,5867
33,5978
34,6442
35,6443
36,6443
37,6443
38,5868
39,5868
40,6869
41,6210
42,6062
43,6114
44,5867
45,5868
46,6553
47,5873
48,6553
49,6443
50,5868
51,6443
52,6210
53,6210
54,6100
55,6675
56,6442
57,6294
58,5868
59,5868
60,6443
61,6274
62,6210
63,6443
64,6442
65,6210
66,5963
67,5868
68,6442
69,6210
70,5868
71,6442
72,6785
73,6443
74,5961
75,6210
76,6295
77,6442
78,6784
79,6442
80,5867
81,6209
82,5867
83,6293
84,6442
85,6209
86,6215
87,6448
88,6067
89,6447
90,6448
91,5878
92,6067
93,6447
94,6215
95,5873
96,7022
97,7023
98,6442
99,6443
100,6443
101,5868
102,6869
103,6639
104,6062
105,6114
106,5868
107,6442
108,6210
109,6210
110,6442
111,6442
112,6210
113,6443
114,6442
115,6100
116,7017
117,6210
118,7018
119,6637
120,5868
121,6869
122,6785
123,6210
124,7018
125,6675
126,7017
127,6443
128,6210
129,6443
130,5868
131,6785
132,7017
133,6443
134,7017
135,6100
136,6553
137,6210
138,6770
139,6791
140,6443
141,7018
142,5868
143,6448
144,6791
145,6210
146,7017
147,6211
148,6443
149,7018
150,6443
151,6443
152,7018
153,6443
154,6443
155,7018
156,6216
157,6210
158,5868
159,6443
160,6210
161,6785
162,7032
163,5868
164,6210
165,6689
166,6675
167,6974
168,5978
169,6380
170,5868
171,6210
172,6785
173,6443
174,6785
175,7128
176,7018
177,5978
178,6443
179,6210
180,6443
181,6785
182,5868
183,6210
184,6443
185,6210
186,6443
187,6553
188,6442
189,6553
190,7017
191,6443
192,6785
193,7018
194,6296
195,6443
196,6443
197,6294
198,6443
199,6443
200,6062
201,6216
202,6100
203,5882
204,6062
205,7018
