Time,[S Data
0,42169
1,81175
2,73948
3,77192
4,77615
5,67794
6,79729
7,78376
8,38104
9,49274
10,44064
11,43375
12,40787
13,49630
14,49990
15,41089
16,49778
17,46996
18,39031
19,44778
20,38789
21,46275
22,49952
23,46212
24,50545
25,55128
26,53598
27,38001
28,39889
29,39173
30,40862
31,52671
32,40369
33,40348
34,48608
35,51177
36,50436
37,49098
38,40333
39,38779
40,55868
41,45149
42,41113
43,42034
44,41400
45,38363
46,52187
47,41219
48,53395
49,49315
50,38208
51,51363
52,41235
53,43715
54,43136
55,55369
56,51640
57,45175
58,38196
59,38755
60,51723
61,43719
62,45669
63,53059
64,44699
65,43901
66,38197
67,38959
68,52293
69,42205
70,39605
71,48676
72,53228
73,52814
74,40155
75,45589
76,46168
77,51572
78,56570
79,54311
80,38835
81,40963
82,39890
83,45738
84,49622
85,45610
86,46640
87,50022
88,43228
89,46870
90,50220
91,42921
92,42344
93,45008
94,43320
95,38719
96,58820
97,60965
98,50849
99,49937
100,48837
101,38501
102,58520
103,53956
104,42993
105,43452
106,38442
107,49074
108,44022
109,43071
110,51349
111,46230
112,43415
113,52916
114,46585
115,42825
116,59684
117,45156
118,63205
119,53230
120,39922
121,58263
122,58948
123,45840
124,62674
125,55164
126,60492
127,51844
128,41428
129,51008
130,40146
131,56633
132,61287
133,51726
134,63072
135,47954
136,55392
137,41717
138,55308
139,62392
140,49730
141,62266
142,40569
143,52941
144,62274
145,45614
146,63384
147,45421
148,52224
149,64165
150,49754
151,52441
152,64158
153,49652
154,51589
155,63794
156,45228
157,44170
158,38239
159,48892
160,46931
161,55815
162,65630
163,38727
164,43622
165,56108
166,55944
167,62409
168,40000
169,48342
170,38313
171,45482
172,55059
173,51930
174,58126
175,64935
176,64755
177,40005
178,48013
179,42852
180,50488
181,53780
182,39020
183,43959
184,49209
185,46191
186,51107
187,52901
188,50589
189,53404
190,60405
191,53808
192,55626
193,62668
194,46457
195,50617
196,51572
197,46596
198,49904
199,51180
200,43120
201,46023
202,42761
203,41019
204,40739
205,66223
