Time,java.util.LinkedList$Node Data
0,17549
1,44124
2,42272
3,39096
4,25468
5,12482
6,47508
7,30053
8,8735
9,42720
10,31299
11,39957
12,31445
13,43673
14,48187
15,32221
16,32422
17,45072
18,23691
19,36983
20,11981
21,41034
22,45262
23,45157
24,48168
25,70452
26,53566
27,8887
28,27416
29,12620
30,20372
31,56670
32,33503
33,29557
34,51496
35,51117
36,46380
37,30563
38,19660
39,11401
40,60029
41,42156
42,32161
43,16188
44,36782
45,10660
46,54369
47,32623
48,71881
49,30860
50,10458
51,52392
52,32213
53,43557
54,33880
55,72337
56,53505
57,39279
58,10590
59,14616
60,54491
61,35558
62,44513
63,61327
64,24313
65,43470
66,10321
67,16010
68,69331
69,16984
70,18361
71,42412
72,56423
73,60816
74,30249
75,24511
76,45751
77,54202
78,60015
79,77346
80,13393
81,32682
82,19728
83,44975
84,32518
85,45477
86,44005
87,35347
88,43627
89,47169
90,47234
91,42649
92,40384
93,38291
94,18507
95,13929
96,83859
97,67881
98,51940
99,46402
100,42774
101,12965
102,83796
103,61004
104,43398
105,38209
106,12552
107,51262
108,42390
109,34680
110,54153
111,46354
112,35590
113,60270
114,47593
115,34230
116,65202
117,44560
118,89627
119,60026
120,21488
121,83735
122,68924
123,47242
124,87667
125,60903
126,93248
127,56956
128,34352
129,53717
130,36157
131,78730
132,95858
133,57846
134,89609
135,33360
136,83738
137,35579
138,61615
139,89414
140,47023
141,75657
142,23858
143,74305
144,97017
145,47401
146,90945
147,26205
148,58994
149,95270
150,48545
151,60363
152,94984
153,47491
154,57071
155,95535
156,39261
157,47812
158,15183
159,44555
160,48694
161,84265
162,114792
163,15969
164,44288
165,78639
166,67164
167,90617
168,32858
169,31410
170,15409
171,40034
172,61400
173,60459
174,81794
175,99009
176,99657
177,33075
178,29097
179,44513
180,52176
181,61396
182,17464
183,39955
184,47036
185,50360
186,55716
187,74575
188,54099
189,76524
190,70395
191,67914
192,82920
193,90163
194,50447
195,54249
196,57258
197,51439
198,51640
199,56566
200,46705
201,43316
202,26282
203,40535
204,36036
205,107599
