Time,com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl$ElementStack Data
0,139
1,213
2,224
3,176
4,182
5,63
6,273
7,225
8,219
9,192
10,99
11,213
12,261
13,131
14,237
15,222
16,62
17,140
18,62
19,212
20,225
21,265
22,254
23,345
24,318
25,58
26,152
27,357
28,123
29,91
30,298
31,285
32,248
33,209
34,123
35,386
36,216
37,106
38,95
39,159
40,321
41,99
42,357
43,201
44,296
45,192
46,131
47,352
48,309
49,187
50,310
51,151
52,240
53,380
54,152
55,204
56,63
57,321
58,97
59,97
60,186
61,318
62,370
63,86
64,144
65,236
66,308
67,330
68,430
69,50
70,107
71,225
72,225
73,240
74,180
75,249
76,215
77,237
78,236
79,207
80,168
81,152
82,50
83,447
84,411
85,273
86,224
87,179
88,470
89,366
90,203
91,136
92,261
93,156
94,117
95,297
96,213
97,131
98,369
99,225
100,113
101,376
102,217
103,495
104,354
105,111
106,458
107,426
108,249
109,471
110,366
111,532
112,321
113,83
114,279
115,111
116,402
117,568
118,310
119,495
120,228
121,453
122,95
123,330
124,463
125,212
126,472
127,132
128,345
129,559
130,240
131,507
132,138
133,334
134,544
135,213
136,346
137,544
138,212
139,309
140,532
141,107
142,204
143,175
144,211
145,427
146,592
147,50
148,156
149,390
150,403
151,463
152,74
153,177
154,119
155,354
156,322
157,383
158,568
159,578
160,74
161,152
162,179
163,249
164,329
165,63
166,158
167,197
168,264
169,281
170,333
171,261
172,357
173,411
174,406
175,402
176,472
177,248
178,259
179,294
180,260
181,225
182,285
183,204
184,143
185,132
186,135
187,95
188,641
