Time,java.util.regex.Matcher Data
0,1059
1,6371
2,4965
3,4948
4,5510
5,1113
6,6788
7,6419
8,69
9,5408
10,4421
11,4129
12,1504
13,6450
14,6361
15,2521
16,6562
17,6329
18,295
19,4607
20,409
21,2842
22,6517
23,3369
24,6800
25,7605
26,6869
27,272
28,390
29,806
30,1503
31,7627
32,1639
33,1120
34,7096
35,7085
36,6217
37,6545
38,1639
39,298
40,8336
41,3885
42,1259
43,840
44,1990
45,134
46,7688
47,1571
48,7993
49,6302
50,64
51,6714
52,4094
53,5914
54,881
55,7650
56,7214
57,1900
58,65
59,1049
60,7923
61,1674
62,3034
63,8553
64,4789
65,6118
66,1234
67,1209
68,7310
69,1118
70,1538
71,5202
72,9220
73,8630
74,902
75,5508
76,3231
77,7218
78,11083
79,9063
80,283
81,4061
82,1612
83,4164
84,6498
85,2902
86,6159
87,6837
88,2936
89,6211
90,5879
91,2842
92,3796
93,3684
94,4375
95,344
96,12032
97,12115
98,7013
99,5817
100,5508
101,204
102,8921
103,10860
104,2867
105,4444
106,164
107,6360
108,5570
109,1144
110,7149
111,5577
112,1552
113,7969
114,6013
115,760
116,11627
117,3026
118,12765
119,9361
120,1615
121,9129
122,12081
123,4305
124,12495
125,7675
126,13438
127,7285
128,4226
129,7079
130,1569
131,8753
132,13779
133,7919
134,12752
135,2921
136,9730
137,4300
138,10945
139,13460
140,5738
141,13361
142,1845
143,7538
144,14145
145,3037
146,12963
147,5201
148,8197
149,13875
150,6450
151,8269
152,13876
153,5746
154,7218
155,13894
156,4821
157,6119
158,767
159,5395
160,6378
161,10856
162,14546
163,340
164,5571
165,8149
166,8780
167,13466
168,840
169,5779
170,773
171,4660
172,8029
173,7990
174,11728
175,14635
176,14438
177,840
178,5161
179,3063
180,6656
181,9284
182,687
183,1716
184,5579
185,3174
186,7078
187,7925
188,6640
189,7990
190,11594
191,8858
192,11587
193,13388
194,3190
195,6801
196,7243
197,3382
198,6464
199,7082
200,3997
201,5021
202,1697
203,1837
204,2313
205,15639
