Time,java.text.SimpleDateFormat Data
0,270
1,398
2,382
3,394
4,394
5,273
6,411
7,398
8,111
9,327
10,286
11,294
12,295
13,329
14,327
15,291
16,331
17,328
18,205
19,309
20,109
21,292
22,322
23,301
24,329
25,428
26,407
27,186
28,289
29,190
30,204
31,342
32,195
33,274
34,393
35,408
36,406
37,466
38,356
39,279
40,497
41,297
42,361
43,287
44,205
45,336
46,480
47,364
48,499
49,394
50,265
51,413
52,398
53,413
54,400
55,537
56,249
57,286
58,263
59,191
60,409
61,283
62,300
63,339
64,294
65,305
66,265
67,270
68,415
69,424
70,347
71,476
72,564
73,491
74,270
75,404
76,398
77,434
78,540
79,530
80,299
81,389
82,379
83,401
84,425
85,406
86,243
87,466
88,363
89,382
90,400
91,376
92,360
93,365
94,374
95,269
96,603
97,603
98,250
99,326
100,394
101,272
102,442
103,420
104,295
105,298
106,278
107,321
108,307
109,295
110,249
111,295
112,288
113,344
114,389
115,292
116,508
117,357
118,609
119,473
120,335
121,576
122,365
123,449
124,545
125,500
126,611
127,491
128,448
129,485
130,357
131,511
132,617
133,491
134,385
135,377
136,431
137,372
138,413
139,546
140,405
141,538
142,284
143,435
144,483
145,379
146,466
147,379
148,493
149,635
150,486
151,495
152,631
153,480
154,490
155,628
156,475
157,389
158,335
159,468
160,471
161,505
162,639
163,344
164,453
165,535
166,608
167,652
168,387
169,495
170,334
171,456
172,562
173,482
174,603
175,624
176,623
177,430
178,458
179,438
180,480
181,534
182,341
183,437
184,469
185,378
186,483
187,492
188,478
189,576
190,596
191,501
192,594
193,696
194,367
195,401
196,412
197,379
198,402
199,484
200,368
201,398
202,358
203,363
204,357
205,563
