Time,java.net.URI Data
0,464
1,1683
2,1325
3,1394
4,1518
5,500
6,1851
7,1790
8,270
9,1579
10,1276
11,1340
12,750
13,1871
14,1871
15,946
16,1942
17,1785
18,488
19,1551
20,503
21,1351
22,2013
23,1395
24,2106
25,2387
26,2257
27,627
28,739
29,810
30,955
31,2365
32,959
33,941
34,2272
35,2315
36,2140
37,2210
38,1073
39,771
40,2821
41,1725
42,1102
43,1020
44,1207
45,830
46,2677
47,1265
48,2769
49,2383
50,890
51,2462
52,1800
53,2213
54,1235
55,2837
56,2598
57,1556
58,999
59,1237
60,2853
61,1553
62,1886
63,3023
64,2210
65,2406
66,1356
67,1380
68,2795
69,1548
70,1494
71,2408
72,3397
73,3186
74,1429
75,2416
76,2139
77,2919
78,3790
79,3362
80,1357
81,2196
82,1669
83,2356
84,2874
85,2187
86,2705
87,2978
88,2114
89,2880
90,2810
91,2064
92,2301
93,2526
94,2421
95,1579
96,4343
97,4388
98,3140
99,2906
100,2858
101,1624
102,3816
103,4129
104,2318
105,2652
106,1672
107,3167
108,2910
109,2125
110,3340
111,3142
112,2244
113,3602
114,3201
115,2065
116,4530
117,2641
118,4806
119,3968
120,2202
121,4119
122,4585
123,2954
124,4844
125,3807
126,5083
127,3636
128,2881
129,3610
130,2337
131,4183
132,5234
133,3889
134,4997
135,2802
136,4356
137,3023
138,4584
139,5226
140,3467
141,5264
142,2550
143,4006
144,5402
145,3044
146,5200
147,3332
148,4146
149,5500
150,3785
151,4201
152,5538
153,3658
154,3998
155,5582
156,3461
157,3695
158,2565
159,3662
160,3795
161,5006
162,5831
163,2515
164,3696
165,4476
166,4633
167,5622
168,2780
169,3869
170,2743
171,3570
172,4597
173,4465
174,5253
175,6094
176,5973
177,2906
178,3881
179,3507
180,4254
181,4937
182,2884
183,3274
184,4059
185,3632
186,4413
187,4689
188,4359
189,4735
190,5577
191,4880
192,5486
193,6008
194,3779
195,4487
196,4587
197,3841
198,4465
199,4603
200,3866
201,4102
202,3493
203,3441
204,3545
205,6679
