Time,com.sun.xml.bind.v2.runtime.reflect.TransducedAccessor$CompositeTransducedAccessorImpl Data
0,10686
1,1148
2,240
3,22423
4,1148
5,240
6,22423
7,1148
8,240
9,22423
10,1148
11,240
12,22423
13,1148
14,240
15,22423
16,1148
17,240
18,22423
19,1148
20,240
21,22423
22,1148
23,240
24,22423
25,1148
26,240
27,22423
28,1148
29,240
30,22423
31,1148
32,240
33,22423
34,1148
35,240
36,22423
37,1148
38,240
39,22423
40,1148
41,240
42,22423
43,1148
44,240
45,22423
46,1148
47,240
48,22423
49,1148
50,240
51,22423
52,1148
53,240
54,22423
55,1148
56,240
57,22423
58,1148
59,240
60,22423
61,1148
62,240
63,22423
64,1148
65,240
66,22423
67,1148
68,240
69,22423
70,1148
71,240
72,22423
73,1148
74,240
75,22423
76,1148
77,22423
78,1148
79,22423
80,1148
81,240
82,22423
83,1148
84,240
85,22423
86,1148
87,240
88,22423
89,1148
90,240
91,22423
92,1148
93,240
94,22423
95,1148
96,240
97,22423
98,1148
99,240
100,22423
101,1148
102,240
103,22423
104,1148
105,240
106,22423
107,1148
108,240
109,22423
110,1148
111,240
112,22423
113,1148
114,240
115,22423
116,1148
117,240
118,22423
119,1148
120,22423
121,1148
122,240
123,22423
124,1148
125,240
126,22423
127,1148
128,240
129,22423
130,1148
131,240
132,22423
133,1148
134,240
135,22423
136,1148
137,240
138,22423
139,1148
140,240
141,22423
142,1148
143,22423
144,1148
145,240
146,22423
147,1148
148,240
149,22423
150,1148
151,240
152,22423
153,1148
154,240
155,22423
156,1148
157,240
158,22423
159,1148
160,240
161,22423
162,1148
163,22423
164,1148
165,240
166,22423
167,1148
168,240
169,22423
170,1148
171,240
172,22423
173,1148
174,240
175,22423
176,1148
177,240
178,22423
179,1148
180,240
181,22423
182,1148
183,240
184,22423
185,1148
186,22423
187,1148
188,240
189,22423
190,1148
191,240
192,22423
193,1148
194,240
195,22423
196,1148
197,240
198,22423
199,1148
200,240
201,22423
202,1148
203,240
204,22423
205,1148
206,240
207,22423
208,1148
209,240
210,22423
211,1148
212,22423
213,1148
214,22423
215,1148
216,240
217,22423
218,1148
219,240
220,22423
221,1148
222,240
223,22423
224,1148
225,240
226,22423
227,1148
228,22423
229,1148
230,22423
231,1148
232,240
233,22423
234,1148
235,240
236,22423
237,1148
238,240
239,22423
240,1148
241,240
242,22423
243,1148
244,240
245,22423
246,1148
247,240
248,22423
249,1148
250,240
251,22423
252,1148
253,240
254,22423
255,1148
256,240
257,22423
258,1148
259,240
260,22423
261,1148
262,240
263,22423
264,1148
265,240
266,22423
267,1148
268,240
269,22423
270,1148
271,240
272,22423
273,1148
274,240
275,22423
276,1148
277,240
278,22423
279,1148
280,22423
281,1148
282,22423
283,1148
284,240
285,22423
286,1148
287,240
288,22423
289,1148
290,240
291,22423
292,1148
293,240
294,22423
295,1148
296,22423
297,1148
298,22423
299,1148
300,240
301,22423
302,1148
303,240
304,22423
305,1148
306,240
307,22423
308,1148
309,240
310,22423
311,1148
312,240
313,22423
314,1148
315,240
316,22423
317,1148
318,240
319,22423
320,1148
321,240
322,22423
323,1148
324,240
325,22423
326,1148
327,240
328,22423
329,1148
330,240
331,22423
332,1148
333,240
334,22423
335,1148
336,22423
337,1148
338,240
339,22423
340,1148
341,22423
342,1148
343,22423
344,1148
345,240
346,22423
347,1148
348,22423
349,1148
350,22423
351,1148
352,240
353,22423
354,1148
355,22423
356,1148
357,22423
358,1148
359,22423
360,1148
361,240
362,22423
363,1148
364,240
365,22423
366,1148
367,240
368,22423
369,1148
370,240
371,22423
372,1148
373,22423
374,1148
375,22423
376,1148
377,240
378,22423
379,1148
380,22423
381,1148
382,240
383,22423
384,1148
385,22423
386,1148
387,240
388,22423
389,1148
390,22423
391,1148
392,22423
393,1148
394,240
395,22423
396,1148
397,22423
398,1148
399,240
400,22423
401,1148
402,22423
403,1148
404,22423
405,1148
406,240
407,22423
408,1148
409,22423
410,1148
411,240
412,22423
413,1148
414,240
415,22423
416,1148
417,22423
418,1148
419,240
420,22423
421,1148
422,240
423,22423
424,1148
425,22423
426,1148
427,240
428,22423
429,1148
430,240
431,22423
432,1148
433,22423
434,1148
435,240
436,22423
437,1148
438,240
439,22423
440,1148
441,240
442,22423
443,1148
444,240
445,22423
446,1148
447,240
448,22423
449,1148
450,22423
451,1148
452,22423
453,1148
454,240
455,22423
456,1148
457,240
458,22423
459,1148
460,22423
461,1148
462,22423
463,1148
464,22423
465,1148
466,240
467,22423
468,1148
469,240
470,22423
471,1148
472,240
473,22423
474,1148
475,240
476,22423
477,1148
478,22423
479,1148
480,240
481,22423
482,1148
483,22423
484,1148
485,22423
486,1148
487,22423
488,1148
489,240
490,22423
491,1148
492,240
493,22423
494,1148
495,240
496,22423
497,1148
498,240
499,22423
500,1148
501,22423
502,1148
503,240
504,22423
505,1148
506,240
507,22423
508,1148
509,240
510,22423
511,1148
512,240
513,22423
514,1148
515,240
516,22423
517,1148
518,240
519,22423
520,1148
521,240
522,22423
523,1148
524,22423
525,1148
526,22423
527,1148
528,22423
529,1148
530,22423
531,1148
532,22423
533,1148
534,240
535,22423
536,1148
537,240
538,22423
539,1148
540,240
541,22423
542,1148
543,240
544,22423
545,1148
546,240
547,22423
548,1148
549,240
550,22423
551,1148
552,240
553,22423
554,1148
555,240
556,22423
557,1148
558,240
559,22423
560,1148
561,240
562,22423
563,1148
564,240
565,22423
566,1148
