Time,org.hibernate.util.IdentityMap Data
0,255
1,225
2,1047
3,225
4,495
5,225
6,957
7,225
8,888
9,225
10,1107
11,942
12,225
13,1032
14,225
15,759
16,804
17,258
18,219
19,1044
20,225
21,1029
22,225
23,228
24,963
25,225
26,921
27,159
28,864
29,225
30,414
31,225
32,1041
33,225
34,501
35,225
36,1071
37,225
38,1347
39,450
40,1218
41,450
42,234
43,216
44,180
45,1203
46,216
47,192
48,1065
49,225
50,1101
51,225
52,1074
53,225
54,879
55,225
56,201
57,153
58,1275
59,450
60,414
61,225
62,558
63,192
64,279
65,1110
66,282
67,222
68,1299
69,918
70,225
71,1104
72,225
73,699
74,834
75,369
76,225
77,1404
78,450
79,1125
80,225
81,813
82,225
83,1131
84,255
85,225
86,471
87,225
88,1194
89,759
90,225
91,834
92,1257
93,225
94,159
95,978
96,225
97,1602
98,1167
99,195
100,732
101,855
102,225
103,1110
104,225
105,1701
106,1356
107,573
108,723
109,225
110,936
111,225
112,450
113,225
114,852
115,936
116,231
117,612
118,966
119,231
120,1062
121,231
122,360
123,576
124,861
125,231
126,609
127,2007
128,456
129,1908
130,456
131,1074
132,225
133,1050
134,225
135,894
136,225
137,1887
138,450
139,1602
140,618
141,369
142,225
143,123
144,999
145,225
146,774
147,318
148,225
149,1101
150,225
151,912
152,225
153,318
154,225
155,1203
156,945
157,225
158,348
159,225
160,1860
161,450
162,426
163,225
164,2166
165,450
166,1233
167,1869
168,450
169,1833
170,447
171,225
172,2121
173,450
174,1308
175,450
176,2085
177,450
178,1122
179,699
180,1080
181,198
182,1437
183,450
184,2136
185,450
186,1131
187,2133
188,450
189,402
190,225
191,1386
192,729
193,1659
194,2115
195,450
196,1041
197,225
198,2001
199,450
200,228
201,1314
202,435
203,2112
204,453
205,225
206,2163
207,450
208,720
209,1167
210,2199
211,450
212,1035
213,225
214,1167
215,2199
216,450
217,1017
218,225
219,1113
220,2142
221,450
222,810
223,198
224,846
225,975
226,225
227,909
228,1791
229,2358
230,450
231,774
232,1416
233,450
234,1350
235,450
236,2133
237,450
238,192
239,882
240,225
241,813
242,1251
243,450
244,1137
245,1911
246,2196
247,450
248,2220
249,450
250,192
251,834
252,225
253,726
254,1077
255,225
256,1653
257,354
258,225
259,918
260,225
261,501
262,225
263,1101
264,225
265,1206
266,1041
267,225
268,1290
269,1872
270,450
271,1320
272,1857
273,2112
274,450
275,882
276,225
277,1071
278,225
279,1224
280,852
281,225
282,1008
283,225
284,1098
285,225
286,645
287,849
288,255
289,225
290,252
291,255
292,2319
293,450
