Time,org.springframework.beans.factory.support.RootBeanDefinition Data
0,124
1,80
2,41
3,124
4,80
5,41
6,124
7,80
8,41
9,124
10,80
11,41
12,124
13,80
14,41
15,124
16,80
17,41
18,124
19,80
20,41
21,124
22,80
23,41
24,124
25,80
26,41
27,124
28,80
29,41
30,124
31,80
32,41
33,124
34,80
35,41
36,124
37,80
38,41
39,124
40,80
41,41
42,124
43,80
44,41
45,124
46,80
47,41
48,124
49,80
50,41
51,124
52,80
53,41
54,124
55,80
56,41
57,124
58,80
59,41
60,124
61,80
62,41
63,124
64,80
65,41
66,124
67,80
68,41
69,124
70,80
71,41
72,124
73,80
74,41
75,124
76,80
77,124
78,80
79,124
80,80
81,41
82,124
83,80
84,41
85,124
86,80
87,41
88,124
89,80
90,41
91,124
92,80
93,41
94,124
95,80
96,41
97,124
98,80
99,41
100,124
101,80
102,41
103,124
104,80
105,41
106,124
107,80
108,41
109,124
110,80
111,41
112,124
113,80
114,41
115,124
116,80
117,41
118,124
119,80
120,124
121,80
122,41
123,124
124,80
125,41
126,124
127,80
128,41
129,124
130,80
131,41
132,124
133,80
134,41
135,124
136,80
137,41
138,124
139,80
140,41
141,124
142,80
143,41
144,124
145,80
146,41
147,124
148,80
149,41
150,124
151,80
152,41
153,124
154,80
155,41
156,124
157,80
158,41
159,124
160,80
161,41
162,124
163,80
164,124
165,80
166,41
167,124
168,80
169,41
170,124
171,80
172,41
173,124
174,80
175,41
176,124
177,80
178,41
179,124
180,80
181,41
182,124
183,80
184,41
185,124
186,80
187,41
188,124
189,80
190,41
191,124
192,80
193,41
194,124
195,80
196,41
197,124
198,80
199,41
200,124
201,80
202,41
203,124
204,80
205,41
206,124
207,80
208,41
209,124
210,80
211,41
212,124
213,80
214,41
215,124
216,80
217,41
218,124
219,80
220,41
221,124
222,80
223,41
224,124
225,80
226,41
227,124
228,80
229,41
230,124
231,80
232,124
233,80
234,124
235,80
236,41
237,124
238,80
239,41
240,124
241,80
242,41
243,124
244,80
245,41
246,124
247,80
248,41
249,124
250,80
251,41
252,124
253,80
254,41
255,124
256,80
257,41
258,124
259,80
260,41
261,124
262,80
263,41
264,124
265,80
266,41
267,124
268,80
269,41
270,124
271,80
272,41
273,124
274,80
275,41
276,124
277,80
278,41
279,124
280,80
281,41
282,124
283,80
284,124
285,80
286,124
287,80
288,41
289,124
290,80
291,41
292,124
293,80
294,41
295,124
296,80
297,41
298,124
299,80
300,124
301,80
302,124
303,80
304,41
305,124
306,80
307,41
308,124
309,80
310,41
311,124
312,80
313,41
314,124
315,80
316,41
317,124
318,80
319,41
320,124
321,80
322,41
323,124
324,80
325,41
326,124
327,80
328,41
329,124
330,80
331,41
332,124
333,80
334,41
335,124
336,80
337,41
338,124
339,80
340,124
341,80
342,41
343,124
344,80
345,124
346,80
347,124
348,80
349,41
350,124
351,80
352,124
353,80
354,124
355,80
356,41
357,124
358,80
359,124
360,80
361,124
362,80
363,124
364,80
365,41
366,124
367,80
368,41
369,124
370,80
371,41
372,124
373,80
374,41
375,124
376,80
377,124
378,80
379,124
380,80
381,41
382,124
383,80
384,124
385,80
386,41
387,124
388,80
389,124
390,80
391,41
392,124
393,80
394,124
395,80
396,124
397,80
398,41
399,124
400,80
401,124
402,80
403,41
404,124
405,80
406,124
407,80
408,124
409,80
410,41
411,124
412,80
413,124
414,80
415,41
416,124
417,80
418,41
419,124
420,80
421,124
422,80
423,41
424,124
425,80
426,41
427,124
428,80
429,124
430,80
431,41
432,124
433,80
434,41
435,124
436,80
437,124
438,80
439,41
440,124
441,80
442,41
443,124
444,80
445,41
446,124
447,80
448,41
449,124
450,80
451,41
452,124
453,80
454,124
455,80
456,124
457,80
458,41
459,124
460,80
461,41
462,124
463,80
464,124
465,80
466,124
467,80
468,124
469,80
470,41
471,124
472,80
473,41
474,124
475,80
476,41
477,124
478,80
479,41
480,124
481,80
482,124
483,80
484,41
485,124
486,80
487,124
488,80
489,124
490,80
491,124
492,80
493,41
494,124
495,80
496,41
497,124
498,80
499,41
500,124
501,80
502,41
503,124
504,80
505,124
506,80
507,41
508,124
509,80
510,41
511,124
512,80
513,41
514,124
515,80
516,41
517,124
518,80
519,41
520,124
521,80
522,41
523,124
524,80
525,41
526,124
527,80
528,41
529,124
530,80
531,124
532,80
533,124
534,80
535,124
536,80
537,124
538,80
539,41
540,124
541,80
542,41
543,124
544,80
545,41
546,124
547,80
548,41
549,124
550,80
551,41
552,124
553,80
554,41
555,124
556,80
557,41
558,124
559,80
560,41
561,124
562,80
563,41
564,124
565,80
566,41
567,124
568,80
569,41
570,124
571,80
