Time,sun.nio.cs.US_ASCII$Encoder Data
0,154
1,156
2,154
3,154
4,154
5,156
6,154
7,154
8,145
9,154
10,154
11,154
12,154
13,154
14,156
15,154
16,162
17,308
18,308
19,143
20,156
21,158
22,162
23,154
24,154
25,308
26,154
27,154
28,148
29,154
30,156
31,156
32,156
33,310
34,156
35,156
36,156
37,156
38,156
39,156
40,154
41,156
42,154
43,154
44,156
45,156
46,158
47,156
48,156
49,156
50,154
51,154
52,156
53,154
54,154
55,154
56,154
57,310
58,310
59,156
60,154
61,154
62,310
63,158
64,154
65,154
66,154
67,154
68,154
69,154
70,156
71,154
72,154
73,308
74,154
75,310
76,156
77,308
78,156
79,154
80,310
81,308
82,310
83,154
84,154
85,308
86,310
87,156
88,308
89,154
90,154
91,148
92,306
93,156
94,310
95,293
96,204
97,154
98,308
99,154
100,316
101,154
102,156
103,308
104,154
105,156
106,310
107,129
108,154
109,156
110,310
111,308
112,310
113,312
114,154
115,308
116,154
117,154
118,312
119,310
120,154
121,156
122,158
123,154
124,154
125,156
126,156
127,156
128,158
129,156
130,312
131,158
132,156
133,310
134,154
135,154
136,158
137,154
138,154
139,154
140,154
141,310
