Time,sun.nio.ch.SocketChannelImpl Data
0,38
1,93
2,86
3,75
4,78
5,45
6,103
7,94
8,69
9,54
10,81
11,57
12,83
13,86
14,60
15,85
16,84
17,56
18,68
19,84
20,83
21,81
22,127
23,96
24,20
25,46
26,33
27,46
28,111
29,49
30,64
31,114
32,106
33,99
34,89
35,64
36,44
37,134
38,93
39,66
40,60
41,64
42,35
43,140
44,66
45,151
46,98
47,36
48,111
49,71
50,104
51,70
52,141
53,85
54,57
55,19
56,29
57,101
58,49
59,87
60,110
61,57
62,87
63,32
64,23
65,96
66,44
67,39
68,69
69,129
70,116
71,43
72,86
73,94
74,111
75,145
76,162
77,47
78,68
79,55
80,94
81,102
82,97
83,68
84,87
85,83
86,84
87,85
88,87
89,80
90,60
91,46
92,30
93,146
94,138
95,80
96,77
97,66
98,134
99,134
100,76
101,66
102,26
103,83
104,73
105,45
106,87
107,70
108,48
109,111
110,73
111,42
112,124
113,72
114,147
115,120
116,35
117,134
118,128
119,82
120,148
121,125
122,168
123,95
124,57
125,93
126,58
127,133
128,172
129,106
130,143
131,65
132,153
133,56
134,124
135,162
136,73
137,156
138,54
139,127
140,193
141,80
142,155
143,63
144,113
145,171
146,85
147,114
148,171
149,76
150,93
151,165
152,60
153,92
154,21
155,58
156,85
157,147
158,204
159,21
160,72
161,126
162,126
163,161
164,47
165,68
166,22
167,57
168,118
169,107
170,135
171,197
172,181
173,48
174,58
175,77
176,89
177,124
178,41
179,64
180,81
181,92
182,102
183,130
184,91
185,140
186,140
187,135
188,151
189,166
190,73
191,80
192,101
193,74
194,72
195,87
196,78
197,61
198,42
199,61
200,50
201,194
