Time,[Lcom.sun.xml.ws.policy.jaxws.xmlstreamwriter.XmlStreamWriterMethodType; Data
0,11706
1,11706
2,11706
3,11706
4,11706
5,11706
6,11706
7,11706
8,11706
9,11706
10,11706
11,11706
12,9180
13,11706
14,11706
15,11706
16,11706
17,11706
18,23411
19,11706
20,11706
21,11706
22,11706
23,11706
24,11706
25,11706
26,11706
27,11706
28,11706
29,11706
30,11706
31,11706
32,11706
33,23411
34,11706
35,11706
36,11706
37,11706
38,23411
39,11706
40,11706
41,11706
42,11706
43,11706
44,11706
45,11706
46,23411
47,11706
48,11706
49,11706
50,11706
51,11706
52,11706
53,11706
54,20948
55,11706
56,11706
57,11706
58,11706
59,11706
60,11706
61,11706
62,11706
63,11706
64,11706
65,23411
66,11706
67,11706
68,11706
69,11706
70,23411
71,11706
72,11706
73,11706
74,11706
75,11706
76,11706
77,11706
78,11706
79,11706
80,11706
81,11706
82,11706
83,11706
84,11706
85,23411
86,11706
87,23411
88,11706
89,11706
90,23411
91,11706
92,23411
93,11706
94,11706
95,11706
96,11706
97,23411
98,23411
99,11706
100,23411
101,23411
102,11706
103,11706
104,23411
105,11706
106,11706
107,23411
108,23411
109,11706
110,23411
111,11706
112,23411
113,11706
114,11706
115,23411
116,11706
117,11706
118,23411
119,11706
120,11706
121,11706
122,11706
123,23411
124,35116
125,11706
126,23411
127,11706
128,23411
129,11706
130,11706
131,11706
132,11706
133,23411
134,23411
135,23411
136,11706
137,11706
138,11706
139,11706
140,11706
141,11706
142,11706
143,11706
144,23411
145,11706
146,23411
147,11706
148,11706
149,23411
150,23411
151,11706
152,11706
153,11706
154,11706
155,11706
156,11706
157,11706
158,11706
159,11706
160,11706
161,23411
