Time,com.sun.xml.stream.xerces.util.XMLAttributesImpl$Attribute Data
0,72
1,56
2,60
3,64
4,68
5,52
6,60
7,52
8,56
9,60
10,60
11,56
12,60
13,60
14,60
15,60
