Time,org.hibernate.hql.ast.tree.BinaryLogicOperatorNode Data
0,1310
1,137
2,1544
3,137
4,1704
5,137
6,1904
7,137
8,2104
9,137
10,2264
11,137
12,2464
13,137
14,2663
15,137
16,2079
17,137
18,2279
19,137
20,2479
21,137
22,2639
23,137
24,2839
25,137
26,3039
27,137
28,3199
29,137
30,3399
31,137
32,3598
33,137
34,3759
35,137
36,3959
37,137
38,4159
39,137
40,2598
41,137
42,2798
43,137
44,2998
45,137
46,3158
47,137
48,3358
49,137
50,3558
51,137
52,3749
53,137
54,3918
55,137
56,4118
57,137
58,4286
59,137
60,4366
61,137
62,4558
63,137
64,2515
65,137
66,2715
67,137
68,2877
69,137
70,3075
71,137
72,3275
73,137
74,3474
75,137
76,3635
77,137
78,3835
79,137
80,4034
81,137
82,4195
83,137
84,4395
85,137
86,4594
87,137
88,2594
89,137
90,2794
91,137
92,2993
93,137
94,3154
95,137
96,3354
97,137
98,3554
99,137
100,3714
101,137
102,3914
103,137
104,4114
105,137
106,4274
107,137
108,4474
109,137
110,4674
111,137
112,2557
113,137
114,2757
115,137
116,2957
117,137
118,3117
119,137
120,3317
121,137
122,3517
123,137
124,3708
125,137
126,3877
127,137
128,4076
129,137
130,4237
131,137
132,4436
133,137
134,4597
135,137
136,2597
137,137
138,2796
139,137
140,2957
141,137
142,3157
143,137
144,3356
145,137
146,3517
147,137
148,2486
149,137
150,2654
151,137
152,2846
153,137
154,3046
155,137
156,3245
157,137
158,3406
159,137
160,3606
161,137
162,3806
163,137
164,3966
165,137
166,4166
167,137
168,4365
169,137
170,4526
171,137
172,2496
173,137
174,2695
175,137
176,2856
177,137
178,3056
179,137
180,3256
181,137
182,3418
183,137
184,3616
185,137
186,3816
187,137
188,3984
189,137
190,4176
191,137
192,4376
193,137
194,4575
195,137
196,2554
197,137
198,2754
199,137
200,2954
201,137
202,3114
203,137
204,3314
205,137
206,3513
207,137
208,3674
209,137
210,3874
211,137
212,4074
213,137
214,4234
215,137
216,4434
217,137
218,4634
219,137
220,2524
221,137
222,2724
223,137
224,2924
225,137
226,3084
227,137
228,3284
229,137
230,3484
231,137
232,3683
233,137
234,3844
235,137
236,4044
237,137
238,4212
239,137
240,4404
241,137
242,4604
243,137
244,2532
245,137
246,2724
247,137
248,2924
249,137
250,3123
251,137
252,3284
253,137
254,3484
255,137
256,3684
257,137
258,3844
259,137
260,4044
261,137
262,4244
263,137
264,4404
265,137
266,4604
267,137
268,2557
269,137
270,2755
271,137
272,2917
273,137
274,3117
275,137
276,3316
277,137
278,3477
279,137
280,3677
281,137
282,3876
283,137
284,4037
285,137
286,4237
287,137
288,4405
289,137
290,4597
291,137
292,2597
293,137
294,2765
295,137
296,2957
297,137
298,3157
299,137
300,3357
301,137
302,3517
303,137
304,3717
305,137
306,3917
307,137
308,4077
309,137
310,4277
311,137
312,4477
313,137
314,4637
315,137
316,2564
317,137
318,2764
319,137
320,2924
321,137
322,3124
323,137
324,3324
325,3484
326,137
327,3684
328,137
329,3884
330,137
331,4075
332,137
333,4244
334,137
335,4444
336,137
337,4643
338,137
339,2564
340,137
341,2764
342,137
343,2963
344,137
345,3124
346,137
347,3324
348,137
349,3523
350,3684
351,137
352,3884
353,137
354,4083
355,137
356,4244
357,137
358,4444
359,137
360,4644
361,137
362,2557
363,137
364,2757
365,137
366,2957
367,137
368,3117
369,137
370,3317
371,137
372,3517
373,137
374,3677
375,137
376,3877
377,137
378,4076
379,137
380,4237
381,137
382,4437
383,137
384,4637
385,137
386,2563
387,137
388,2763
389,137
390,2963
391,137
392,3123
393,137
394,3323
395,137
396,3523
397,137
398,3683
399,137
400,3883
401,137
402,4075
403,137
404,4243
405,137
406,4443
407,137
408,4603
