Time,org.hibernate.hql.ast.tree.QueryNode Data
0,406
1,64
2,518
3,545
4,599
5,649
6,677
7,64
8,739
9,787
10,614
11,64
12,676
13,719
14,64
15,757
16,64
17,807
18,64
19,866
20,906
21,945
22,64
23,1004
24,1039
25,1084
26,64
27,1144
28,717
29,64
30,775
31,829
32,865
33,919
34,977
35,1023
36,1047
37,64
38,1099
39,64
40,1139
41,64
42,1159
43,64
44,1219
45,696
46,64
47,747
48,64
49,796
50,848
51,898
52,946
53,976
54,64
55,1026
56,64
57,1094
58,1124
59,1167
60,64
61,1222
62,64
63,716
64,64
65,765
66,64
67,826
68,859
69,64
70,918
71,967
72,995
73,64
74,1057
75,1098
76,64
77,1138
78,1193
79,64
80,1255
81,718
82,764
83,64
84,806
85,64
86,846
87,64
88,908
89,954
90,64
91,1001
92,1048
93,1094
94,1129
95,1175
96,64
97,1216
98,64
99,729
100,772
101,64
102,806
103,64
104,868
105,919
106,958
107,690
108,64
109,735
110,64
111,787
112,841
113,894
114,931
115,969
116,64
117,1022
118,64
119,1059
120,64
121,1117
122,1169
123,1207
124,696
125,64
126,751
127,782
128,64
129,841
130,893
131,922
132,64
133,972
134,64
135,1031
136,1067
137,64
138,1111
139,64
140,1183
141,1233
142,717
143,767
144,817
145,845
146,64
147,915
148,956
149,986
150,64
151,1043
152,64
153,1085
154,64
155,1137
156,1180
157,64
158,1233
159,64
160,711
161,759
162,807
163,64
164,851
165,899
166,947
167,64
168,1011
169,1037
170,1103
171,1133
172,1169
173,64
174,1239
175,717
176,757
177,823
178,867
179,911
180,951
181,992
182,64
183,1041
184,1079
185,64
186,1149
187,1191
188,1231
189,730
190,763
191,64
192,809
193,849
194,64
195,911
196,959
197,998
198,1058
199,1076
200,64
201,1139
202,1185
203,1224
204,740
205,762
206,64
207,818
208,880
209,918
210,958
211,1020
212,1058
213,1098
214,1160
215,1191
216,64
217,1231
218,709
219,64
220,771
221,804
222,864
223,924
224,939
225,64
226,994
227,64
228,1059
229,1105
230,1153
231,1180
232,64
233,1239
234,709
235,64
236,764
237,64
238,827
239,861
240,916
241,972
242,1013
243,1040
244,64
245,1099
246,1130
247,64
248,1191
249,1244
250,706
251,64
252,764
253,64
254,818
255,854
256,908
257,959
258,998
259,1049
260,1108
261,1138
262,1191
263,1250
264,716
265,770
266,820
267,856
268,910
269,960
270,989
271,64
272,1043
273,64
274,1093
275,64
276,1129
277,64
278,1179
279,64
280,1242
