Time,[Lorg.hibernate.persister.entity.Loadable; Data
0,1527
1,1528
2,1528
3,1528
4,1527
5,1527
6,119
7,1528
8,1527
9,1527
10,119
11,1528
12,1528
13,1528
14,1528
15,1528
16,1528
17,1528
18,1527
19,1528
20,1528
21,119
22,1528
23,1527
24,119
25,1528
26,1528
27,1528
28,1528
29,1528
30,1528
31,1527
32,119
33,1528
34,1527
35,119
36,1527
37,1528
38,1528
39,1528
40,1528
41,1528
42,1528
43,1527
44,1528
45,1528
46,119
47,1528
48,1528
49,1528
50,1527
51,1528
52,1527
53,119
54,1528
55,1528
56,1529
57,1527
58,1527
59,119
60,1528
61,1528
62,1528
63,1528
64,1529
65,1528
66,1528
67,1527
68,119
69,1527
70,119
71,1528
72,1527
73,1528
74,1528
75,1527
76,1528
77,1527
78,119
79,1527
80,119
81,1529
82,1527
83,1527
84,119
85,1528
86,1528
87,1528
88,1528
89,1527
90,1528
91,1528
92,1528
93,1529
94,1527
95,119
96,1527
97,1527
98,1528
99,1527
100,1528
101,1528
102,1527
103,1528
104,1528
105,1528
106,1528
107,1528
108,1528
109,1527
110,1527
111,119
112,1529
113,1528
114,1528
115,1528
116,1527
117,1527
118,119
119,1529
120,1528
121,1528
122,1528
123,1528
124,119
125,1528
126,1528
127,1528
128,1528
129,1528
130,1528
131,1528
132,1528
133,1528
134,1528
135,1528
136,1529
137,1528
138,1527
139,1529
140,1528
141,1528
142,1529
143,1528
144,1529
145,1528
146,1528
147,1528
148,1528
149,1529
150,1529
151,1528
152,1529
153,1527
154,1529
155,1528
156,1528
157,1529
158,1528
159,1528
160,1528
161,1529
162,1529
163,1528
164,1529
165,1527
166,1528
167,1529
168,1528
169,1528
170,1529
171,1528
172,1528
173,1529
174,1528
175,1528
176,1527
177,119
178,1528
179,1528
180,1529
181,1530
182,1527
183,119
184,1528
185,1529
186,1528
187,1529
188,1528
189,1527
190,1527
191,119
192,1528
193,1528
194,1528
195,1529
196,1529
197,1529
198,1528
199,1527
200,1528
201,1528
202,1528
203,1527
204,119
205,1528
206,1527
207,1528
208,1528
209,1529
210,1528
211,1529
212,1528
213,1529
214,1529
215,1529
216,1528
217,1528
218,1529
219,1528
220,1528
221,1528
222,1528
223,1528
224,1527
225,1528
226,1528
227,1529
