Time,java.net.Inet4Address Data
0,172
1,370
2,311
3,331
4,334
5,229
6,407
7,372
8,307
9,290
10,386
11,309
12,452
13,491
14,438
15,542
16,567
17,439
18,557
19,117
20,294
21,370
22,383
23,430
24,534
25,497
26,278
27,326
28,320
29,354
30,552
31,167
32,267
33,433
34,438
35,461
36,463
37,396
38,382
39,661
40,565
41,525
42,513
43,184
44,185
45,481
46,292
47,563
48,472
49,326
50,564
51,491
52,600
53,508
54,721
55,308
56,289
57,206
58,274
59,496
60,376
61,489
62,615
63,505
64,596
65,466
66,488
67,342
68,260
69,284
70,423
71,606
72,597
73,180
74,354
75,395
76,487
77,617
78,642
79,389
80,500
81,475
82,601
83,678
84,681
85,234
86,350
87,351
88,411
89,440
90,410
91,465
92,486
93,489
94,448
95,822
96,824
97,276
98,352
99,355
100,246
101,603
102,626
103,486
104,463
105,417
106,642
107,641
108,594
109,297
110,344
111,291
112,497
113,444
114,346
115,654
116,519
117,781
118,716
119,501
120,814
121,452
122,360
123,606
124,512
125,698
126,537
127,458
128,580
129,473
130,753
131,900
132,739
133,465
134,295
135,579
136,376
137,591
138,720
139,523
140,776
141,505
142,737
143,961
144,670
145,529
146,367
147,514
148,712
149,494
150,599
151,798
152,563
153,641
154,857
155,597
156,710
157,200
158,369
159,455
160,666
161,823
162,395
163,563
164,719
165,774
166,917
167,635
168,728
169,177
170,325
171,508
172,526
173,644
174,826
175,819
176,498
177,576
178,647
179,727
180,857
181,235
182,339
183,436
184,478
185,557
186,664
187,598
188,748
189,805
190,799
191,901
192,973
193,329
194,417
195,486
196,444
197,500
198,569
199,550
200,575
201,542
202,595
203,630
204,1057
