Time,[Lsun.reflect.generics.tree.TypeArgument; Data
0,19337
1,29890
2,29416
3,29867
4,29890
5,29216
6,29890
7,29890
8,24145
9,24819
10,24620
11,24619
12,24178
13,24842
14,24819
15,24442
16,24842
17,24620
18,24168
19,24819
20,24145
21,24696
22,24842
23,24567
24,24842
25,25041
26,25018
27,24168
28,24178
29,24480
30,24168
31,24842
32,24145
33,24368
34,24819
35,24842
36,24842
37,24842
38,24168
39,24168
40,25365
41,24567
42,24492
43,24375
44,24145
45,24168
46,25042
47,24178
48,25042
49,24842
50,24168
51,24842
52,24620
53,24620
54,24367
55,25041
56,24819
57,24691
58,24168
59,24168
60,24842
61,24671
62,24567
63,24842
64,24819
65,24620
66,24356
67,24168
68,24819
69,24567
70,24168
71,24819
72,25293
73,24842
74,24313
75,24639
76,24692
77,24838
78,25290
79,24838
80,24164
81,24616
82,24164
83,24687
84,24838
85,24563
86,24630
87,24852
88,24502
89,24829
90,24852
91,24188
92,24502
93,24828
94,24630
95,24178
96,25503
97,25526
98,24819
99,24842
100,24842
101,24168
102,25365
103,25171
104,24492
105,24375
106,24168
107,24819
108,24620
109,24567
110,24819
111,24818
112,24567
113,24842
114,24819
115,24367
116,25493
117,24567
118,25516
119,25166
120,24168
121,25365
122,25294
123,24582
124,25516
125,25041
126,25493
127,24842
128,24620
129,24842
130,24168
131,25241
132,25493
133,24842
134,25493
135,24367
136,25042
137,24620
138,25282
139,25327
140,24842
141,25516
142,24168
143,24852
144,25327
145,24567
146,25493
147,24643
148,24842
149,25516
150,24842
151,24842
152,25516
153,24842
154,24842
155,25516
156,24653
157,24620
158,24168
159,24842
160,24620
161,25293
162,25524
163,24168
164,24620
165,25049
166,25041
167,25437
168,24368
169,24734
170,24168
171,24639
172,25241
173,24842
174,25294
175,25716
176,25516
177,24368
178,24842
179,24619
180,24842
181,25293
182,24168
183,24567
184,24842
185,24567
186,24842
187,25042
188,24838
189,25042
190,25493
191,24842
192,25294
193,25516
194,24696
195,24842
196,24842
197,24691
198,24842
199,24842
200,24492
201,24653
202,24367
203,24176
204,24492
205,25516
