Time,com.sun.org.apache.xerces.internal.util.ParserConfigurationSettings Data
0,165
1,216
2,196
3,224
4,185
5,176
6,240
7,200
8,224
9,184
10,219
11,192
12,192
13,239
14,200
15,196
16,232
17,191
18,204
19,272
20,280
21,256
22,168
23,296
24,228
25,184
26,232
27,233
28,312
29,220
30,288
31,268
32,152
33,296
34,228
35,336
36,200
37,173
38,252
39,360
40,192
41,312
42,140
43,287
44,204
45,292
46,296
47,216
48,356
49,320
50,208
51,344
52,216
53,344
54,192
55,336
56,268
57,376
58,244
59,252
60,292
61,220
62,200
63,240
64,360
65,367
66,204
67,164
68,174
69,208
70,224
71,256
72,256
73,252
74,296
75,182
76,160
77,176
78,408
