Time,java.util.regex.Pattern$Start Data
0,431
1,557
2,497
3,529
4,529
5,404
6,579
7,552
8,376
9,543
10,483
11,525
12,425
13,563
14,566
15,457
16,560
17,542
18,399
19,511
20,391
21,490
22,567
23,521
24,569
25,622
26,598
27,382
28,403
29,410
30,424
31,611
32,429
33,433
34,598
35,584
36,570
37,544
38,431
39,397
40,646
41,505
42,439
43,413
44,444
45,382
46,617
47,430
48,642
49,548
50,376
51,583
52,479
53,538
54,433
55,628
56,588
57,477
58,376
59,404
60,605
61,458
62,511
63,624
64,514
65,550
66,403
67,404
68,603
69,432
70,415
71,531
72,661
73,627
74,430
75,519
76,530
77,592
78,678
79,656
80,390
81,469
82,421
83,511
84,558
85,503
86,530
87,558
88,488
89,559
90,556
91,473
92,484
93,514
94,476
95,389
96,741
97,716
98,578
99,556
100,531
101,385
102,685
103,686
104,484
105,470
106,389
107,566
108,521
109,446
110,586
111,544
112,463
113,625
114,549
115,425
116,698
117,499
118,762
119,648
120,421
121,699
122,710
123,516
124,748
125,620
126,774
127,594
128,485
129,584
130,427
131,681
132,794
133,603
134,755
135,473
136,687
137,491
138,677
139,757
140,552
141,758
142,440
143,616
144,789
145,511
146,766
147,511
148,616
149,793
150,563
151,622
152,793
153,550
154,592
155,784
156,498
157,550
158,389
159,533
160,550
161,718
162,817
163,394
164,521
165,634
166,654
167,757
168,428
169,528
170,391
171,496
172,637
173,607
174,701
175,821
176,807
177,428
178,514
179,518
180,575
181,665
182,401
183,471
184,535
185,519
186,584
187,631
188,565
189,642
190,710
191,648
192,713
193,767
194,509
195,571
196,599
197,518
198,550
199,583
200,493
201,508
202,443
203,432
204,443
205,849
