Time,org.springframework.aop.framework.Cglib2AopProxy$CglibMethodInvocation Data
0,205
1,94
2,194
3,183
4,222
5,187
6,213
7,168
8,166
9,209
10,215
11,198
12,204
13,169
14,210
15,100
16,217
17,265
18,235
19,249
20,208
21,223
22,216
23,174
24,240
25,97
26,67
27,223
28,263
29,192
30,224
31,144
32,176
33,263
34,229
35,140
36,233
37,92
38,247
39,139
40,175
41,253
42,196
43,313
44,238
45,161
46,146
47,225
48,356
49,269
50,125
51,112
52,189
53,185
54,191
55,112
56,187
57,217
58,83
59,103
60,160
61,136
62,389
63,377
64,214
65,211
66,187
67,349
68,309
69,110
70,207
71,171
72,222
73,171
74,250
75,180
76,366
77,434
78,260
79,344
80,377
81,421
82,248
83,406
84,231
85,143
86,219
87,278
88,421
89,233
90,423
91,87
92,288
93,150
94,343
95,420
96,209
97,400
98,267
99,443
100,430
101,157
102,241
103,443
104,209
105,242
106,443
107,206
108,227
109,429
110,173
111,189
112,194
113,202
114,353
115,474
116,175
117,271
118,262
119,421
120,176
121,180
122,237
123,234
124,396
125,440
126,444
127,165
128,140
129,218
130,336
131,192
132,98
133,223
134,250
135,209
136,263
137,372
138,261
139,374
140,417
141,155
142,217
143,238
144,147
145,205
146,225
147,118
148,188
149,63
150,68
151,473
