Time,org.codehaus.jackson.map.introspect.POJOPropertyBuilder Data
0,96
1,135
2,126
3,129
4,165
5,141
6,147
7,135
8,159
9,147
10,141
11,144
12,141
13,240
14,225
15,189
16,171
17,159
18,153
19,231
20,171
21,189
22,129
23,165
24,96
25,228
26,171
27,171
28,132
29,189
30,177
31,129
32,186
33,189
34,165
35,192
36,219
37,141
38,132
39,141
40,147
41,147
42,288
43,258
44,153
45,141
46,273
47,183
48,159
49,165
50,135
51,201
52,141
53,252
54,300
55,177
56,267
57,228
58,126
59,285
60,237
61,318
62,177
63,153
64,249
65,336
66,171
67,300
68,120
69,219
70,192
71,234
72,135
73,288
74,189
75,282
76,132
77,306
78,183
79,324
80,135
81,189
82,324
83,135
84,165
85,306
86,228
87,336
88,243
89,255
90,285
91,225
92,177
93,210
94,318
95,324
96,153
97,192
98,144
99,153
100,171
101,147
102,189
103,270
104,207
105,228
106,288
107,126
108,141
109,159
110,138
111,153
112,96
113,360
